# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:49
# parameter: seed = 1896465
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      28.056,     2,Finish(1),before,   1,   0,   0,   1,   0
      28.056,     2,Finish(1), after,   2,   0,   0,   0,   1
      38.192,     1,  Arrival,before,   1,   0,   0,   0,   1
      38.192,     1,  Arrival, after,   3,   0,   0,   1,   1
      39.400,     5,Finish(1),before,   2,   0,   0,   1,   1
      39.400,     5,Finish(1), after,   2,   0,   1,   0,   1
      44.376,     3,Finish(2),before,   1,   0,   1,   0,   1
      44.376,     3,Finish(2), after,   2,   0,   0,   0,   1
      53.467,     4,  Arrival,before,   1,   0,   0,   0,   1
      53.467,     4,  Arrival, after,   3,   0,   0,   1,   1
      54.965,     8,Finish(1),before,   2,   0,   0,   1,   1
      54.965,     8,Finish(1), after,   2,   0,   1,   0,   1
      57.540,     6,Finish(2),before,   1,   0,   1,   0,   1
      57.540,     6,Finish(2), after,   2,   0,   0,   0,   1
      72.955,     9,Finish(2),before,   1,   0,   0,   0,   1
      72.955,     9,Finish(2), after,   1,   0,   0,   0,   0
     104.698,     7,  Arrival,before,   0,   0,   0,   0,   0
     104.698,     7,  Arrival, after,   2,   0,   0,   1,   0
     113.012,    10,  Arrival,before,   1,   0,   0,   1,   0
     113.012,    10,  Arrival, after,   2,   1,   0,   1,   0
     116.351,    11,Finish(1),before,   1,   1,   0,   1,   0
     116.351,    11,Finish(1), after,   3,   0,   0,   1,   1
     122.037,    13,Finish(1),before,   2,   0,   0,   1,   1
     122.037,    13,Finish(1), after,   2,   0,   1,   0,   1
     129.283,    12,  Arrival,before,   1,   0,   1,   0,   1
     129.283,    12,  Arrival, after,   3,   0,   1,   1,   1
     131.278,    16,Finish(1),before,   2,   0,   1,   1,   1
     131.278,    16,Finish(1), after,   2,   0,   2,   0,   1
     131.515,    14,Finish(2),before,   1,   0,   2,   0,   1
     131.515,    14,Finish(2), after,   2,   0,   1,   0,   1
     149.045,    17,Finish(2),before,   1,   0,   1,   0,   1
