# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896479
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,1.0928730683729144,13.835181964180649
2,12.35890197283939,12.35890197283939,34.31054269817066,50.6923260891043
3,44.68319460959613,44.68319460959613,53.31674294175362,64.38632553823463
4,84.50076120354319,84.50076120354319,86.0419296100002,103.34196561132873
5,138.75227828196046,138.75227828196046,141.9039963824423,164.2539915706863
6,170.072274077042,170.072274077042,199.0274967662899,210.13408235372046
7,190.8610497979505,199.0274967662899,227.4241934659595,241.12755798264115
8,220.8138302649722,227.4241934659595,241.12755798264115,260.18201971630947
9,264.0067359394811,264.0067359394811,287.3693831996036,302.64935209317537
10,278.5082308891435,287.3693831996036,308.7891007645744,324.48833623300527
11,318.75856631556826,318.75856631556826,328.35534361095455,339.0111611382664
12,334.7949619891865,334.7949619891865,342.89900172858415,362.116520486235
13,386.60930734085645,386.60930734085645,396.743024005403,412.9820251373788
14,432.03677219725625,432.03677219725625,439.0454159572736,458.39814372703734
15,464.6795214994603,464.6795214994603,485.8266097689331,502.67801819957776
16,506.3576470254489,506.3576470254489,531.4437403214176,543.4103652293261
17,537.3604086769485,537.3604086769485,543.4103652293261,565.6945239771453
18,575.8131872011129,575.8131872011129,599.5636802746619,613.1709913687686
19,622.2997232357175,622.2997232357175,627.1971625532158,647.2789885716003
20,638.794596194158,638.794596194158,647.2789885716003,660.733617201213
21,685.1275814025374,685.1275814025374,689.968479270687,703.6945287098338
22,693.0354324030084,693.0354324030084,709.4832266666682,719.3932927213324
23,733.7791898378498,733.7791898378498,742.495085326544,758.2166930043999
24,755.8604028944434,755.8604028944434,764.4761519776382,786.0825766174715
25,772.0906580751971,772.0906580751971,797.2742414561857,814.8337324275808
26,827.5031657794802,827.5031657794802,829.9523964197159,846.8142773185633
27,840.1541296658372,840.1541296658372,846.8142773185633,862.8885516688002
28,850.0790180711099,850.0790180711099,862.8885516688002,878.1863281309898
29,878.7482763242476,878.7482763242476,901.4224746055123,917.2997212838753
30,912.7860410394057,912.7860410394057,925.390197374087,940.2753217184763
31,952.9893003783999,952.9893003783999,958.8363017990266,975.5290273137739
32,990.8178717273136,990.8178717273136,1008.5948703713523,1024.159497104663
33,1003.9024173584291,1008.5948703713523,1024.159497104663,1041.8268947572292
34,1051.7945804951835,1051.7945804951835,1076.920651487556,1097.4961574201614
35,1101.9903851997653,1101.9903851997653,1121.1277721956885,1141.1752144684815
36,1112.9278690302533,1121.1277721956885,1141.1752144684815,1162.910216687534
37,1141.5604661663708,1141.5604661663708,1162.910216687534,1183.357039526208
38,1178.9886122826533,1178.9886122826533,1185.654731860684,1207.5617434272724
39,1203.131537414766,1203.131537414766,1221.510193608684,1236.6614428113116
40,1222.6569250005168,1222.6569250005168,1236.7548882110166,1252.577251329742
41,1233.055081686627,1236.7548882110166,1252.577251329742,1265.0045490194855
42,1260.2560008585147,1260.2560008585147,1279.6271396059685,1292.1302437065199
43,1291.0130668426987,1291.0130668426987,1301.7294723827686,1313.8362377941748
44,1308.0487049243789,1308.0487049243789,1343.8135051670831,1362.3323983465289
45,1329.7395789474112,1343.8135051670831,1362.3323983465289,1378.196914170703
46,1346.9110128901032,1346.9110128901032,1378.196914170703,1392.228113620615
47,1374.7803713427115,1374.7803713427115,1392.228113620615,1411.5030861177784
48,1392.8591557698014,1392.8591557698014,1411.5030861177784,1432.8355279175103
49,1443.033010050679,1443.033010050679,1463.2452820408441,1478.9726960295652
50,1469.6983824524898,1469.6983824524898,1478.9726960295652,1496.3630397864656
51,1486.4622475858764,1486.4622475858764,1496.3630397864656,1508.4913187476177
52,1540.83083012656,1540.83083012656,1545.6863021950114,1562.5167642566155
53,1555.3833244730383,1555.3833244730383,1562.5167642566155,1574.3385044523654
54,1568.5400818801277,1568.5400818801277,1574.3385044523654,1589.154823299413
55,1617.736081783166,1617.736081783166,1630.6998028636742,1647.0564782735323
56,1649.514934917192,1649.514934917192,1653.9588296006,1667.34892519641
57,1665.7140447943946,1665.7140447943946,1674.1116903206816,1697.7338911300806
58,1704.5696630184652,1704.5696630184652,1705.0238904507414,1718.4466936035903
59,1745.5062638172565,1745.5062638172565,1749.3816501378967,1763.2707128902293
60,1796.112431798426,1796.112431798426,1803.0470491991039,1824.0154368879705
61,1840.321661775519,1840.321661775519,1847.5201971036438,1861.7037272590746
62,1867.522143153482,1867.522143153482,1869.7038189792167,1889.6468750061217
63,1912.9400236225401,1912.9400236225401,1913.7037485279577,1930.3538954967878
64,1933.7882680713735,1933.7882680713735,1941.129826337991,1960.1754107774675
65,1942.8029500902514,1942.8029500902514,1960.1754107774675,1974.1317760240408
66,1993.9317091876612,1993.9317091876612,2001.9548675985402,2020.8990920545484
67,2015.6428018530457,2015.6428018530457,2040.3681702034978,2058.8894436229775
68,2046.3654267057627,2046.3654267057627,2058.8894436229775,2078.9630481755266
69,2101.6730345651226,2101.6730345651226,2102.789182324003,2117.222324278946
70,2114.637203398511,2114.637203398511,2127.898976086064,2149.6319374016757
71,2129.905364897602,2129.905364897602,2149.6319374016757,2168.090120517902
72,2141.312561471146,2147.424962212854,2168.090120517902,2177.695439109288
73,2178.8740898668643,2178.8740898668643,2195.361818844747,2208.841196439939
74,2214.6254124845623,2214.6254124845623,2227.3069741728727,2246.965186880318
75,2258.435776800723,2258.435776800723,2278.3612280268253,2296.1079910546937
76,2288.1200539105635,2288.1200539105635,2296.1079910546937,2309.4135324451754
77,2323.3969925043857,2323.3969925043857,2327.3416840480722,2344.7579073902953
78,2353.1100912742286,2353.1100912742286,2354.5683710329085,2370.447357258756
79,2382.306571507146,2382.306571507146,2397.6735792286736,2413.1635013358577
80,2401.4457241574282,2401.4457241574282,2413.1635013358577,2432.71993156997
81,2426.1613525675402,2426.1613525675402,2440.0193854678178,2448.9302231570296
82,2457.2971803068194,2457.2971803068194,2458.9166877230355,2474.741841150034
83,2509.1925922611154,2509.1925922611154,2532.5393036817004,2551.0426015729204
84,2550.941288256606,2550.941288256606,2553.6598948947476,2567.295977078383
85,2562.8524210638466,2562.8524210638466,2567.295977078383,2581.525219997067
86,2618.111527073576,2618.111527073576,2631.695548009241,2649.8797731933932
87,2640.0693675606126,2640.0693675606126,2649.8797731933932,2665.013968992327
88,2690.0824588975565,2690.0824588975565,2704.1570519425295,2722.652021020222
89,2720.4292118470007,2720.4292118470007,2733.861378056525,2751.089853113941
90,2774.5167062040327,2774.5167062040327,2774.9682521833083,2787.854014788994
91,2825.2521676566016,2825.2521676566016,2828.7045245043405,2842.493030873085
92,2849.11725297098,2849.11725297098,2858.5112357476196,2873.1676170774304
93,2885.7007520793063,2885.7007520793063,2905.9237985003897,2920.0860409166557
94,2911.8085373142367,2911.8085373142367,2945.371861822525,2957.977412415518
95,2939.26564863933,2945.371861822525,2967.9737835281853,2984.3801289665885
96,2963.022479286225,2967.9737835281853,2984.3801289665885,3001.436332261846
97,2990.3487522724804,2990.3487522724804,3001.436332261846,3018.873929277972
98,3005.564085410758,3005.564085410758,3018.873929277972,3033.7729824292974
99,3054.6744174644036,3054.6744174644036,3059.454920994717,3076.7567543538225
100,3093.235965628931,3093.235965628931,3104.285436551982,3121.6000612364633
101,3136.8960326203,3136.8960326203,3152.8021758767204,3165.7806204532485
102,3159.0520614691713,3159.0520614691713,3165.7806204532485,3184.197137257571
103,3168.5799455289666,3168.5799455289666,3184.197137257571,3205.145681741518
104,3212.113592366227,3212.113592366227,3219.6561089375036,3236.76922469158
105,3237.3160278803143,3237.3160278803143,3252.6321738566944,3269.775509157815
106,3263.1577563217006,3263.1577563217006,3272.371944165732,3289.7736716349773
107,3311.076434243991,3311.076434243991,3315.113316159598,3336.4077570159234
108,3343.1012055575657,3343.1012055575657,3368.1576621962536,3384.1094795090994
109,3370.4331060976615,3370.4331060976615,3384.1094795090994,3402.9724523604614
110,3411.3866504292155,3411.3866504292155,3414.7237805984146,3428.740876926744
111,3420.8426662262877,3420.8426662262877,3436.405967342063,3451.508135005583
112,3429.015818074066,3436.405967342063,3451.508135005583,3465.385499369961
113,3446.2375689150717,3446.2375689150717,3481.367755984437,3495.558777287229
114,3470.089463192935,3481.367755984437,3495.558777287229,3511.8316208962315
115,3510.7486244756537,3510.7486244756537,3523.7950642107908,3539.282051433567
116,3539.6612365899073,3539.6612365899073,3558.6458511465444,3574.1199115502545
117,3572.306198058605,3572.306198058605,3594.805777095158,3607.005624233958
118,3617.707818205871,3617.707818205871,3628.5176643124632,3648.985033327349
119,3629.2116708791305,3629.2116708791305,3648.985033327349,3667.2882034151876
120,3662.1066251682,3662.1066251682,3671.4275025107945,3683.7158031166896
121,3703.237898724525,3703.237898724525,3716.340952485089,3731.606891682768
122,3727.9967630092606,3727.9967630092606,3751.3645178247652,3766.117913662329
123,3747.8760993545634,3751.3645178247652,3771.430071013783,3784.156509073886
124,3772.7270373565457,3772.7270373565457,3784.156509073886,3800.3018838028015
125,3805.6524189764905,3805.6524189764905,3808.91554170184,3827.534423338546
126,3849.819263697811,3849.819263697811,3850.346333804511,3861.410976611124
127,3876.1650364950956,3876.1650364950956,3894.194143262409,3904.4450425310424
128,3908.0674817124113,3908.0674817124113,3932.950338095159,3949.6691496175977
129,3954.307380630835,3954.307380630835,3956.066718585351,3970.686289120696
130,3990.8577473728847,3990.8577473728847,4001.9927696872132,4021.900445758363
131,4041.850655114339,4041.850655114339,4047.986574794001,4064.592611672999
132,4059.5506007146464,4059.5506007146464,4064.592611672999,4080.014397852887
133,4108.598393990605,4108.598393990605,4114.784750227672,4129.905277523451
134,4144.652929086603,4144.652929086603,4154.177831853507,4167.484405970975
135,4166.154586710006,4166.154586710006,4168.547042709589,4183.224944188219
136,4175.022963272944,4175.022963272944,4185.991294634735,4207.311074406424
137,4223.164541237486,4223.164541237486,4224.399885770551,4239.633889378495
138,4251.757615260018,4251.757615260018,4289.201858013006,4301.326275273277
139,4264.971748680485,4289.201858013006,4301.326275273277,4320.024188864446
140,4274.619735694067,4290.973265160479,4320.024188864446,4330.4624484003425
141,4328.264628332273,4328.264628332273,4341.449573574737,4358.78772426706
142,4362.012066797147,4362.012066797147,4390.494430451143,4411.504095682438
143,4413.063670957531,4413.063670957531,4427.513439990689,4438.797104296822
144,4467.749053972992,4467.749053972992,4480.29824952446,4498.479327538358
145,4498.437103899852,4498.437103899852,4507.157875630332,4523.332320693642
146,4540.5087114192365,4540.5087114192365,4545.8624538774975,4565.321533408641
147,4582.784144571517,4582.784144571517,4592.92269188807,4607.147216872259
148,4594.043860915101,4594.043860915101,4607.147216872259,4620.686309339977
149,4627.489394516504,4627.489394516504,4633.403488144107,4650.652861307844
150,4681.579332451089,4681.579332451089,4688.161015678959,4704.602316969586
151,4710.063492698908,4710.063492698908,4710.753004234288,4727.202644172174
152,4756.566291040325,4756.566291040325,4767.025838655601,4781.508622680272
153,4811.342256059796,4811.342256059796,4811.655346209168,4830.849067664332
154,4834.81425476751,4834.81425476751,4838.562572869602,4849.3087768078985
155,4864.018623160089,4864.018623160089,4864.732294984981,4885.981709961662
156,4917.511218887006,4917.511218887006,4929.444554180529,4946.229035730434
157,4959.302642583287,4959.302642583287,4982.040246616514,4995.496614583746
158,5011.989430769229,5011.989430769229,5024.142606896007,5044.344177320588
159,5057.764548723714,5057.764548723714,5088.063963727701,5101.734353394266
160,5109.147065610173,5109.147065610173,5136.10343039368,5152.481754067522
161,5129.159409792911,5136.10343039368,5152.481754067522,5168.995936186532
162,5138.734134673947,5138.734134673947,5168.995936186532,5184.577181996576
163,5193.373585803907,5193.373585803907,5195.263384935945,5208.111432184256
164,5246.151482863775,5246.151482863775,5247.382533037472,5266.682861744226
165,5288.513513135401,5288.513513135401,5304.901431654032,5317.574136659151
166,5307.05864267387,5307.05864267387,5400.916198517364,5413.130461741652
167,5319.919911216665,5400.916198517364,5413.130461741652,5426.536997674125
168,5373.893466474848,5406.254828700024,5431.250906567814,5451.718437140831
169,5391.724135701322,5431.250906567814,5451.718437140831,5473.579365783973
170,5439.707748448126,5439.707748448126,5473.579365783973,5488.253228987124
171,5480.44403004498,5480.44403004498,5488.253228987124,5504.999567178967
172,5526.866170574593,5526.866170574593,5547.210856792605,5570.632367827507
173,5552.323936977144,5552.323936977144,5570.632367827507,5582.558339528238
174,5590.679553509989,5590.679553509989,5591.994593259452,5605.477827977966
175,5621.5659982049665,5621.5659982049665,5632.279996597798,5644.941981836057
176,5667.508157904431,5667.508157904431,5676.013719356004,5693.291445628729
177,5722.375987357709,5722.375987357709,5734.3597111047875,5748.201646059958
178,5760.676337535397,5760.676337535397,5769.41884429392,5787.122475341754
179,5774.0576924451325,5774.0576924451325,5799.935070064302,5816.688126247139
180,5815.625151668482,5815.625151668482,5819.633388930871,5836.556959068981
181,5852.887425660124,5852.887425660124,5861.307618274875,5875.823249442413
182,5894.261229280141,5894.261229280141,5909.699501739716,5928.981959241189
183,5906.876530247572,5909.699501739716,5928.981959241189,5949.358824966884
184,5935.0254183446405,5935.0254183446405,5949.358824966884,5967.172087584299
185,5957.350447628049,5957.350447628049,5967.797547024482,5985.20034430336
186,5995.664602107592,5995.664602107592,6006.0626177193035,6023.290455183124
187,6005.994605947859,6006.0626177193035,6023.290455183124,6041.859827774286
188,6024.062502432043,6024.062502432043,6041.859827774286,6055.798912952234
189,6038.952824212093,6038.952824212093,6055.798912952234,6078.736526072179
190,6090.228660336921,6090.228660336921,6092.066355101331,6110.495795559926
191,6145.7665605443535,6145.7665605443535,6166.965552892934,6182.620397553789
192,6200.9665807725005,6200.9665807725005,6201.839116952427,6217.081288881256
193,6209.380192669957,6209.380192669957,6255.049660851764,6269.401549453944
194,6218.941115951996,6255.049660851764,6269.401549453944,6284.7014556001095
195,6259.554362557522,6264.36813963132,6306.94924986562,6328.407095120572
196,6271.305591280188,6306.94924986562,6328.407095120572,6342.299993439819
197,6312.857797219477,6314.1756500975725,6342.299993439819,6357.980688249359
198,6362.6186578483475,6362.6186578483475,6383.427124409461,6395.542213144292
199,6397.976182843193,6397.976182843193,6398.782518618222,6417.340165123358
200,6443.437517463481,6443.437517463481,6447.182972981344,6468.0195193101445
201,6473.150076936324,6473.150076936324,6518.049252991423,6532.047424450947
202,6493.1641239749915,6518.049252991423,6532.047424450947,6542.708947926918
203,6520.955196992267,6527.472977099871,6542.708947926918,6560.123249150508
204,6559.283452992608,6559.283452992608,6563.309125082588,6579.3743937977115
205,6590.224181929894,6590.224181929894,6596.093047344051,6618.5251579228325
206,6644.855674296714,6644.855674296714,6650.214746778973,6664.8649411864
207,6686.332883937246,6686.332883937246,6701.575049021398,6720.126813025265
208,6701.478485133955,6701.575049021398,6720.126813025265,6736.142017630663
209,6732.593117296218,6732.593117296218,6753.573778353618,6774.2734045805655
210,6786.153414115641,6786.153414115641,6802.995358304004,6817.345238529422
211,6824.736232846473,6824.736232846473,6828.066742891481,6845.835745295447
212,6866.007078330041,6866.007078330041,6866.331752770853,6880.957042622076
213,6896.794854600553,6896.794854600553,6920.834342433884,6934.353480245488
214,6916.265225067222,6920.834342433884,6943.4730921077835,6960.9672097516905
215,6929.216740089821,6943.4730921077835,6960.9672097516905,6978.634495847902
216,6947.270722493138,6947.270722493138,6978.634495847902,6994.85518105383
217,6960.802059703434,6963.283745204248,6994.85518105383,7013.289451477482
218,6992.802682045847,6992.802682045847,7013.289451477482,7029.668782329167
219,7016.259875148437,7016.259875148437,7029.668782329167,7044.005037191089
220,7046.018519432268,7046.018519432268,7053.674615750749,7069.820423339393
221,7101.517035322285,7101.517035322285,7105.03419269953,7126.6263429971195
222,7143.987424207328,7143.987424207328,7148.47008086589,7161.793631759297
223,7158.202821827831,7158.202821827831,7167.526398349606,7185.901234904584
224,7206.681255898053,7206.681255898053,7207.423321942765,7227.853614150071
225,7259.467927107382,7259.467927107382,7261.409126873859,7277.183216981045
226,7280.389146690845,7280.389146690845,7281.433350537336,7302.611327823424
227,7289.438837733339,7289.438837733339,7302.611327823424,7314.146315811542
228,7313.171670989943,7313.171670989943,7316.108475555013,7334.484702168614
229,7321.7675537539935,7321.7675537539935,7334.484702168614,7350.591499342604
230,7346.663862569821,7346.663862569821,7375.263612435667,7397.127775318953
231,7360.4296885217245,7375.263612435667,7397.127775318953,7413.619066058195
232,7390.205249866898,7390.205249866898,7413.619066058195,7430.168312325977
233,7398.526038665903,7398.526038665903,7430.168312325977,7450.508030950599
234,7439.528118491966,7439.528118491966,7450.508030950599,7469.485671114348
235,7470.870338495033,7470.870338495033,7472.541143565663,7492.653661073365
236,7523.063792498487,7523.063792498487,7529.593863726159,7544.039938661158
237,7531.628007098427,7531.628007098427,7553.377337095324,7567.890394062506
238,7569.157767696211,7569.157767696211,7606.847056234206,7623.052924476468
239,7598.592943157815,7606.847056234206,7623.052924476468,7634.755477622262
240,7625.335125796517,7625.335125796517,7634.755477622262,7649.301926767851
241,7661.07707317484,7661.07707317484,7663.469071336286,7680.106133399876
242,7710.126773128077,7710.126773128077,7712.215014539773,7726.634327124406
243,7725.181179600429,7725.181179600429,7727.583188684283,7743.417635584668
244,7735.434100988352,7735.434100988352,7748.012351467772,7764.089297980535
245,7754.082081034169,7754.082081034169,7789.459566484095,7808.749213245875
246,7769.239612018153,7789.459566484095,7808.749213245875,7822.1595390138955
247,7810.992448959647,7810.992448959647,7830.2148686199935,7848.123464556271
248,7822.781246482878,7830.2148686199935,7848.123464556271,7866.606053830497
249,7877.907757293563,7877.907757293563,7883.699061384977,7897.2901822475815
250,7928.754052962012,7928.754052962012,7950.50651489066,7963.9560048672
251,7958.0912817312965,7958.0912817312965,7963.9560048672,7985.11486583635
252,7979.008991571223,7979.008991571223,7996.521629016098,8006.576201595277
253,8003.726160792802,8003.726160792802,8009.687339631983,8025.294716319186
254,8036.022051024835,8036.022051024835,8039.421117731689,8051.284668426725
255,8091.349436788136,8091.349436788136,8091.770134796397,8107.986795864133
256,8104.627613740672,8104.627613740672,8120.188940046907,8136.170908410054
257,8158.365135495583,8158.365135495583,8177.235720731787,8195.043178720634
258,8208.700019753354,8208.700019753354,8212.461275432224,8229.067558929808
259,8232.324155117018,8232.324155117018,8233.478256967723,8250.321275055685
260,8282.057774574374,8282.057774574374,8295.91175726858,8310.246425701154
261,8314.31032461058,8314.31032461058,8316.293907886573,8329.427306264592
262,8352.914115070362,8352.914115070362,8371.046985719946,8386.405603531583
263,8389.897000158193,8389.897000158193,8391.899766935498,8407.133293200197
264,8430.550329575253,8430.550329575253,8449.84278055347,8465.040805334498
265,8458.710755294625,8458.710755294625,8483.951236935007,8496.497808714492
266,8481.015034995944,8483.951236935007,8496.497808714492,8513.177846122071
267,8536.188349875485,8536.188349875485,8548.3620423641,8567.85235313864
268,8583.190298168536,8583.190298168536,8605.833007476027,8619.097094483472
269,8626.198228477102,8626.198228477102,8645.195492942368,8659.343684226822
270,8651.414338289023,8651.414338289023,8659.343684226822,8676.25550362643
271,8679.78524420027,8679.78524420027,8681.902333057584,8693.08963060653
272,8697.68232787101,8697.68232787101,8702.549824156806,8723.762941583973
273,8751.308315960496,8751.308315960496,8751.737744324506,8765.221859366146
274,8805.910519939918,8805.910519939918,8819.638454718868,8835.233932182211
275,8831.073366009954,8831.073366009954,8836.132153780401,8850.201757624982
276,8856.57704002092,8856.57704002092,8865.244898881712,8872.664352440564
277,8891.347936742186,8891.347936742186,8909.704836002813,8923.033039391647
278,8933.766145300975,8933.766145300975,8944.07556867804,8957.783248158086
279,8955.011949729065,8955.011949729065,8969.06105205154,8984.601116073869
280,8963.476789860008,8969.06105205154,9014.256372200549,9026.656608521755
281,9002.1422979956,9014.256372200549,9030.19242749278,9046.034736438865
282,9053.209988096658,9053.209988096658,9072.968515716317,9094.342484810113
283,9101.71502286255,9101.71502286255,9113.235492104008,9132.571033579605
284,9126.991688699087,9126.991688699087,9137.988153262166,9153.129033370886
285,9152.604180785036,9152.604180785036,9163.92469535224,9177.622819892293
286,9170.717131095731,9170.717131095731,9177.622819892293,9193.716651734183
287,9196.954903812926,9196.954903812926,9197.612248500325,9210.252246010565
288,9250.434639216026,9250.434639216026,9259.890001374843,9276.773546329723
289,9303.438602251459,9303.438602251459,9327.470559330655,9342.257416557957
290,9322.869317398932,9327.470559330655,9342.257416557957,9359.804396352281
291,9353.099485177145,9353.099485177145,9359.804396352281,9372.900230018506
292,9399.021312693229,9399.021312693229,9416.793065102289,9432.788979133662
293,9431.295748872191,9431.295748872191,9446.734915079172,9467.700577226447
294,9479.727735438579,9479.727735438579,9490.484419425688,9506.98602701013
295,9523.955869094618,9523.955869094618,9549.905647140433,9567.979776238857
296,9564.973069401498,9564.973069401498,9571.485662344117,9591.464977491183
297,9582.729783159124,9582.729783159124,9591.464977491183,9606.42948309094
298,9629.230569682773,9629.230569682773,9635.23251841265,9649.987667246365
299,9665.75816963929,9665.75816963929,9667.452504914838,9687.281773043664
300,9680.415052890374,9680.415052890374,9709.832516884251,9720.46339508552
301,9699.872792466558,9709.832516884251,9720.46339508552,9738.014460888759
302,9715.79975746779,9715.79975746779,9738.014460888759,9750.267689866192
303,9725.872862500864,9730.895957425862,9752.457814558018,9768.467111315238
304,9745.348126412408,9752.457814558018,9768.467111315238,9787.395118345421
305,9764.940070259723,9764.940070259723,9787.395118345421,9801.861778296654
306,9801.73760687804,9801.73760687804,9820.162775080831,9831.452349927915
307,9847.674076363051,9847.674076363051,9877.842046071599,9893.962982828034
308,9890.106495020356,9890.106495020356,9894.366060440374,9908.23680085719
309,9927.873352462173,9927.873352462173,9934.076583283464,9951.273494170444
310,9971.82288270152,9971.82288270152,9983.465966735097,10000.124872478746
311,10011.075885895463,10011.075885895463,10016.95352470746,10031.554587279465
312,10058.1920454413,10058.1920454413,10072.084290952855,10088.96982777325
313,10076.15385878775,10076.15385878775,10089.12123194724,10098.13193387855
314,10112.320126062208,10112.320126062208,10128.878296758983,10141.26324670609
315,10161.367013182818,10161.367013182818,10172.386445339682,10188.033229740578
