# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:54
# parameter: seed = 1896529
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      10.723,     2,Finish(1),before,   1,   0,   0,   1,   0
      10.723,     2,Finish(1), after,   2,   0,   0,   0,   1
      23.108,     3,Finish(2),before,   1,   0,   0,   0,   1
      23.108,     3,Finish(2), after,   1,   0,   0,   0,   0
      36.670,     1,  Arrival,before,   0,   0,   0,   0,   0
      36.670,     1,  Arrival, after,   2,   0,   0,   1,   0
      47.600,     4,  Arrival,before,   1,   0,   0,   1,   0
      47.600,     4,  Arrival, after,   2,   1,   0,   1,   0
      54.320,     5,Finish(1),before,   1,   1,   0,   1,   0
      54.320,     5,Finish(1), after,   3,   0,   0,   1,   1
      55.738,     7,Finish(1),before,   2,   0,   0,   1,   1
      55.738,     7,Finish(1), after,   2,   0,   1,   0,   1
      70.813,     8,Finish(2),before,   1,   0,   1,   0,   1
      70.813,     8,Finish(2), after,   2,   0,   0,   0,   1
      74.553,     6,  Arrival,before,   1,   0,   0,   0,   1
      74.553,     6,  Arrival, after,   3,   0,   0,   1,   1
      78.910,    11,Finish(1),before,   2,   0,   0,   1,   1
      78.910,    11,Finish(1), after,   2,   0,   1,   0,   1
      84.762,     9,Finish(2),before,   1,   0,   1,   0,   1
      84.762,     9,Finish(2), after,   2,   0,   0,   0,   1
      96.358,    12,Finish(2),before,   1,   0,   0,   0,   1
      96.358,    12,Finish(2), after,   1,   0,   0,   0,   0
     128.298,    10,  Arrival,before,   0,   0,   0,   0,   0
     128.298,    10,  Arrival, after,   2,   0,   0,   1,   0
     128.738,    14,Finish(1),before,   1,   0,   0,   1,   0
     128.738,    14,Finish(1), after,   2,   0,   0,   0,   1
     144.166,    15,Finish(2),before,   1,   0,   0,   0,   1
     144.166,    15,Finish(2), after,   1,   0,   0,   0,   0
     171.073,    13,  Arrival,before,   0,   0,   0,   0,   0
     171.073,    13,  Arrival, after,   2,   0,   0,   1,   0
     173.547,    17,Finish(1),before,   1,   0,   0,   1,   0
