time,total_ships,harbour_ships
80,0.7272727272727273,0.0
160,0.875,0.0
240,1.0,0.125
320,1.5,0.25
400,1.6666666666666667,0.16666666666666666
480,2.0,0.2222222222222222
560,1.6666666666666667,0.16666666666666666
640,0.8,0.0
720,1.1111111111111112,0.1111111111111111
800,0.8,0.0
880,0.9,0.0
960,1.2,0.2
1040,2.8333333333333335,0.3333333333333333
1120,1.9166666666666667,0.75
1200,1.3636363636363635,0.18181818181818182
1280,1.125,0.125
1360,1.6,0.2
1440,1.0,0.0
1520,0.6,0.0
1600,2.2857142857142856,0.5714285714285714
1680,1.2222222222222223,0.1111111111111111
1760,0.5,0.0
1840,1.5,0.125
1920,1.5,0.5
2000,0.8,0.0
2080,0.5,0.0
2160,1.5454545454545454,0.09090909090909091
2240,1.7777777777777777,0.7777777777777778
2320,1.0,0.0
2400,0.8571428571428571,0.0
2480,0.8,0.0
2560,0.6666666666666666,0.0
2640,0.6666666666666666,0.0
2720,0.6,0.0
2800,1.375,0.125
2880,1.1111111111111112,0.1111111111111111
2960,0.6666666666666666,0.0
3040,2.0,0.0
3120,3.7,0.8
3200,2.5833333333333335,0.75
3280,0.6666666666666666,0.0
3360,1.6666666666666667,0.2222222222222222
3440,0.625,0.0
3520,1.1428571428571428,0.14285714285714285
3600,1.2,0.0
3680,1.3333333333333333,0.0
3760,1.1428571428571428,0.14285714285714285
3840,1.0,0.125
3920,0.7142857142857143,0.0
4000,0.7142857142857143,0.0
4080,0.6,0.0
4160,1.0,0.0
4240,1.0,0.0
4320,1.4285714285714286,0.0
4400,2.142857142857143,0.5714285714285714
4480,0.6666666666666666,0.0
4560,0.6666666666666666,0.0
4640,1.5,0.0
4720,2.230769230769231,0.07692307692307693
4800,1.2222222222222223,0.1111111111111111
4880,1.1111111111111112,0.1111111111111111
4960,0.8571428571428571,0.0
5040,0.6666666666666666,0.0
5120,1.0,0.0
5200,1.0,0.125
5280,1.0,0.0
5360,1.1428571428571428,0.0
5440,1.2,0.2
5520,1.0,0.0
5600,1.4,0.1
5680,0.6,0.0
5760,1.9,0.2
5840,1.375,0.125
5920,0.8,0.0
6000,0.9,0.0
6080,1.5,0.08333333333333333
6160,0.6666666666666666,0.0
6240,1.3333333333333333,0.2222222222222222
6320,0.8,0.0
6400,0.6,0.0
6480,1.0,0.0
6560,0.5714285714285714,0.0
6640,1.0,0.0
6720,1.0,0.0
6800,1.1111111111111112,0.0
6880,1.4,0.0
6960,1.1428571428571428,0.14285714285714285
7040,1.0,0.0
7120,2.2222222222222223,0.4444444444444444
7200,1.125,0.0
7280,1.1428571428571428,0.14285714285714285
7360,0.6666666666666666,0.0
7440,2.727272727272727,1.0
7520,0.7142857142857143,0.0
7600,0.5,0.0
7680,1.0,0.0
7760,0.6,0.0
7840,1.0909090909090908,0.0
7920,0.6,0.0
8000,1.3,0.1
8080,1.5555555555555556,0.1111111111111111
8160,1.5555555555555556,0.2222222222222222
8240,1.3,0.1
8320,1.8,0.2
8400,2.1,0.7
8480,1.2222222222222223,0.1111111111111111
8560,0.8571428571428571,0.0
8640,1.125,0.125
8720,0.875,0.0
8800,0.8888888888888888,0.0
8880,1.8333333333333333,0.3333333333333333
8960,1.0,0.125
9040,1.0,0.1111111111111111
9120,0.8,0.0
9200,1.0,0.0
9280,2.7142857142857144,1.2142857142857142
9360,1.1428571428571428,0.42857142857142855
9440,1.1428571428571428,0.14285714285714285
9520,1.2,0.1
9600,0.6666666666666666,0.0
9680,0.6666666666666666,0.0
9760,1.0,0.14285714285714285
9840,0.8,0.0
9920,0.6,0.0
10000,1.2857142857142858,0.0
10080,1.2,0.2
10160,1.1666666666666667,0.16666666666666666
10240,0.7142857142857143,0.0
10320,0.6,0.0
10400,1.3,0.1
10480,0.6666666666666666,0.0
10560,1.1428571428571428,0.14285714285714285
10640,0.75,0.0
10720,0.6,0.0
10800,1.0,0.0
10880,0.6666666666666666,0.0
10960,0.6,0.0
11040,1.3333333333333333,0.2222222222222222
11120,1.3,0.1
11200,0.6666666666666666,0.0
11280,1.1,0.1
11360,0.75,0.0
11440,1.3333333333333333,0.16666666666666666
11520,0.6,0.0
11600,0.6,0.0
11680,1.125,0.125
11760,1.1111111111111112,0.1111111111111111
11840,1.0,0.0
11920,1.0,0.1111111111111111
12000,0.8,0.0
12080,1.0,0.1111111111111111
12160,0.6,0.0
12240,1.0,0.0
12320,0.9,0.0
12400,1.0,0.0
12480,0.6666666666666666,0.0
12560,0.6,0.0
12640,0.6,0.0
12720,1.1666666666666667,0.16666666666666666
12800,1.0,0.0
12880,0.6666666666666666,0.0
12960,1.0,0.0
13040,0.7142857142857143,0.0
13120,0.6666666666666666,0.0
13200,0.8888888888888888,0.0
13280,0.875,0.0
13360,1.0,0.0
13440,1.3333333333333333,0.16666666666666666
13520,1.125,0.0
13600,1.1818181818181819,0.09090909090909091
13680,0.6,0.0
13760,1.1,0.0
13840,1.4,0.0
13920,0.875,0.125
14000,0.6,0.0
14080,0.6,0.0
14160,2.25,0.5
14240,1.2727272727272727,0.09090909090909091
14320,2.0,0.0
14400,1.2222222222222223,0.0
14480,0.7142857142857143,0.0
14560,0.6,0.0
14640,1.25,0.125
14720,0.8,0.0
14800,0.9,0.1
14880,1.125,0.125
14960,0.6666666666666666,0.0
15040,1.0,0.125
15120,0.6666666666666666,0.0
15200,1.3333333333333333,0.16666666666666666
15280,0.6666666666666666,0.0
