# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:53
# parameter: seed = 1896512
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      16.378,     2,Finish(1),before,   1,   0,   0,   1,   0
      16.378,     2,Finish(1), after,   2,   0,   0,   0,   1
      26.670,     3,Finish(2),before,   1,   0,   0,   0,   1
      26.670,     3,Finish(2), after,   1,   0,   0,   0,   0
      54.324,     1,  Arrival,before,   0,   0,   0,   0,   0
      54.324,     1,  Arrival, after,   2,   0,   0,   1,   0
      75.408,     4,  Arrival,before,   1,   0,   0,   1,   0
      75.408,     4,  Arrival, after,   2,   1,   0,   1,   0
      88.087,     6,  Arrival,before,   1,   1,   0,   1,   0
      88.087,     6,  Arrival, after,   2,   2,   0,   1,   0
      91.405,     5,Finish(1),before,   1,   2,   0,   1,   0
      91.405,     5,Finish(1), after,   3,   1,   0,   1,   1
      95.974,     8,Finish(1),before,   2,   1,   0,   1,   1
      95.974,     8,Finish(1), after,   3,   0,   1,   1,   1
      97.571,     7,  Arrival,before,   2,   0,   1,   1,   1
      97.571,     7,  Arrival, after,   3,   1,   1,   1,   1
      98.091,    10,Finish(1),before,   2,   1,   1,   1,   1
      98.091,    10,Finish(1), after,   3,   0,   2,   1,   1
      98.391,    12,Finish(1),before,   2,   0,   2,   1,   1
      98.391,    12,Finish(1), after,   2,   0,   3,   0,   1
     105.910,     9,Finish(2),before,   1,   0,   3,   0,   1
     105.910,     9,Finish(2), after,   2,   0,   2,   0,   1
     123.659,    13,Finish(2),before,   1,   0,   2,   0,   1
     123.659,    13,Finish(2), after,   2,   0,   1,   0,   1
     133.248,    11,  Arrival,before,   1,   0,   1,   0,   1
     133.248,    11,  Arrival, after,   3,   0,   1,   1,   1
     138.749,    16,Finish(1),before,   2,   0,   1,   1,   1
     138.749,    16,Finish(1), after,   2,   0,   2,   0,   1
     142.494,    14,Finish(2),before,   1,   0,   2,   0,   1
     142.494,    14,Finish(2), after,   2,   0,   1,   0,   1
     150.689,    15,  Arrival,before,   1,   0,   1,   0,   1
