# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:58
# parameter: seed = 1896583
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       6.354,     2,Finish(1),before,   1,   0,   0,   1,   0
       6.354,     2,Finish(1), after,   2,   0,   0,   0,   1
      21.325,     3,Finish(2),before,   1,   0,   0,   0,   1
      21.325,     3,Finish(2), after,   1,   0,   0,   0,   0
      39.887,     1,  Arrival,before,   0,   0,   0,   0,   0
      39.887,     1,  Arrival, after,   2,   0,   0,   1,   0
      50.859,     5,Finish(1),before,   1,   0,   0,   1,   0
      50.859,     5,Finish(1), after,   2,   0,   0,   0,   1
      62.375,     6,Finish(2),before,   1,   0,   0,   0,   1
      62.375,     6,Finish(2), after,   1,   0,   0,   0,   0
      89.150,     4,  Arrival,before,   0,   0,   0,   0,   0
      89.150,     4,  Arrival, after,   2,   0,   0,   1,   0
     126.461,     7,  Arrival,before,   1,   0,   0,   1,   0
     126.461,     7,  Arrival, after,   2,   1,   0,   1,   0
     130.335,     8,Finish(1),before,   1,   1,   0,   1,   0
     130.335,     8,Finish(1), after,   3,   0,   0,   1,   1
     135.019,    10,Finish(1),before,   2,   0,   0,   1,   1
     135.019,    10,Finish(1), after,   2,   0,   1,   0,   1
     148.215,    11,Finish(2),before,   1,   0,   1,   0,   1
     148.215,    11,Finish(2), after,   2,   0,   0,   0,   1
     164.019,    12,Finish(2),before,   1,   0,   0,   0,   1
     164.019,    12,Finish(2), after,   1,   0,   0,   0,   0
     179.379,     9,  Arrival,before,   0,   0,   0,   0,   0
     179.379,     9,  Arrival, after,   2,   0,   0,   1,   0
     193.353,    14,Finish(1),before,   1,   0,   0,   1,   0
     193.353,    14,Finish(1), after,   2,   0,   0,   0,   1
     203.728,    13,  Arrival,before,   1,   0,   0,   0,   1
     203.728,    13,  Arrival, after,   3,   0,   0,   1,   1
     207.230,    15,Finish(2),before,   2,   0,   0,   1,   1
     207.230,    15,Finish(2), after,   2,   0,   0,   1,   0
     207.877,    17,Finish(1),before,   1,   0,   0,   1,   0
