# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:56
# parameter: seed = 1896554
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       7.606,     2,Finish(1),before,   1,   0,   0,   1,   0
       7.606,     2,Finish(1), after,   2,   0,   0,   0,   1
      24.826,     1,  Arrival,before,   1,   0,   0,   0,   1
      24.826,     1,  Arrival, after,   3,   0,   0,   1,   1
      28.013,     3,Finish(2),before,   2,   0,   0,   1,   1
      28.013,     3,Finish(2), after,   2,   0,   0,   1,   0
      37.598,     5,Finish(1),before,   1,   0,   0,   1,   0
      37.598,     5,Finish(1), after,   2,   0,   0,   0,   1
      49.058,     4,  Arrival,before,   1,   0,   0,   0,   1
      49.058,     4,  Arrival, after,   3,   0,   0,   1,   1
      51.649,     8,Finish(1),before,   2,   0,   0,   1,   1
      51.649,     8,Finish(1), after,   2,   0,   1,   0,   1
      53.356,     6,Finish(2),before,   1,   0,   1,   0,   1
      53.356,     6,Finish(2), after,   2,   0,   0,   0,   1
      71.844,     9,Finish(2),before,   1,   0,   0,   0,   1
      71.844,     9,Finish(2), after,   1,   0,   0,   0,   0
      72.299,     7,  Arrival,before,   0,   0,   0,   0,   0
      72.299,     7,  Arrival, after,   2,   0,   0,   1,   0
      73.706,    11,Finish(1),before,   1,   0,   0,   1,   0
      73.706,    11,Finish(1), after,   2,   0,   0,   0,   1
      87.627,    12,Finish(2),before,   1,   0,   0,   0,   1
      87.627,    12,Finish(2), after,   1,   0,   0,   0,   0
     101.792,    10,  Arrival,before,   0,   0,   0,   0,   0
     101.792,    10,  Arrival, after,   2,   0,   0,   1,   0
     103.107,    14,Finish(1),before,   1,   0,   0,   1,   0
     103.107,    14,Finish(1), after,   2,   0,   0,   0,   1
     111.008,    13,  Arrival,before,   1,   0,   0,   0,   1
     111.008,    13,  Arrival, after,   3,   0,   0,   1,   1
     120.406,    17,Finish(1),before,   2,   0,   0,   1,   1
     120.406,    17,Finish(1), after,   2,   0,   1,   0,   1
     126.320,    15,Finish(2),before,   1,   0,   1,   0,   1
