# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:54
# parameter: seed = 1896527
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,22.636910877465727,37.09713947707181
2,47.217872411114456,47.217872411114456,64.59575609461407,82.1025325762266
3,76.2831417713457,76.2831417713457,106.22544349476101,121.49864408893603
4,111.25156807308107,111.25156807308107,121.49864408893603,138.30118836056718
5,151.5775424144531,151.5775424144531,169.60675091936776,184.8879893676006
6,164.9110115741548,169.60675091936776,184.8879893676006,198.4624548062339
7,200.007203248788,200.007203248788,221.4099747899363,236.53112243820402
8,224.89209023334917,224.89209023334917,236.53112243820402,254.43390480534677
9,242.9953596140358,242.9953596140358,254.43390480534677,270.77078291697114
10,293.9652064081329,293.9652064081329,316.7923010502292,336.21139188965657
11,314.376793732767,316.7923010502292,336.21139188965657,351.39411366666855
12,329.1195395707672,329.1195395707672,351.39411366666855,364.4706354488645
13,348.15945821153923,348.15945821153923,367.49618595946,380.31834591721423
14,402.69575266529347,402.69575266529347,406.2592373939634,421.04667619679935
15,444.4509023134894,444.4509023134894,448.1345111520464,464.76221627473217
16,461.779170195367,461.779170195367,471.57396018665054,487.1789584992141
17,490.92755785155543,490.92755785155543,504.63204538871,523.1051641314958
18,534.5768235159021,534.5768235159021,537.0918759090163,554.1140632017891
19,582.1312081371798,582.1312081371798,584.5661940040842,598.4890250373747
20,632.0207037919912,632.0207037919912,634.8618916684984,647.3297413992987
21,662.9294134325568,662.9294134325568,669.8130521122443,686.9788434538128
22,680.9232227451782,680.9232227451782,686.9788434538128,700.7724399810251
23,711.2531946897768,711.2531946897768,712.3966836530496,724.8987743519907
24,745.7242941111989,745.7242941111989,766.7556943496037,784.5869283603254
25,794.0773350390427,794.0773350390427,808.7542478133485,822.8254613133462
26,808.2854687442237,808.7542478133485,822.8254613133462,838.8193440892268
27,852.5381242092021,852.5381242092021,866.331656012961,885.731464803396
28,901.6288955014996,901.6288955014996,906.7047898710778,923.2200479281482
29,942.0430662223947,942.0430662223947,942.3428800773747,963.7241143438135
30,995.3861191901843,995.3861191901843,997.2051995896633,1016.5378591265098
31,1023.7351967974214,1023.7351967974214,1033.9175035900507,1046.741492686389
32,1067.433297119058,1067.433297119058,1068.8276120823277,1079.5948128304226
33,1099.1042507014274,1099.1042507014274,1100.232273829059,1114.2462848309704
34,1152.7185917052257,1152.7185917052257,1155.3659791570683,1172.5814758327253
35,1188.691206018678,1188.691206018678,1213.1886500743215,1229.975732068003
36,1201.8567121395329,1213.1886500743215,1229.975732068003,1248.448508625485
37,1255.421101032251,1255.421101032251,1287.7542860900396,1300.0530222691582
38,1305.134687698254,1305.134687698254,1325.3513976728523,1341.0875741790928
39,1343.9634390997287,1343.9634390997287,1351.0012544852166,1370.6070364876741
40,1354.2766431731368,1354.2766431731368,1370.6070364876741,1383.0535164515775
41,1373.8576445520164,1373.8576445520164,1383.0535164515775,1395.454095978679
42,1401.1379915322211,1401.1379915322211,1405.0265325245232,1421.496672086114
43,1411.8712217402563,1411.8712217402563,1421.496672086114,1439.5442230987812
44,1430.6822142671745,1430.6822142671745,1439.5442230987812,1456.3740237379227
45,1456.4811478616143,1456.4811478616143,1459.4357591467785,1477.326443518645
46,1467.7124122589141,1467.7124122589141,1477.326443518645,1491.0468295948265
47,1522.284293045027,1522.284293045027,1536.1217812762038,1544.484007082954
48,1574.417644208262,1574.417644208262,1578.7311168226825,1591.2108305624492
49,1617.323092975136,1617.323092975136,1620.2703484408462,1635.9194295019015
50,1625.3752958372154,1625.3752958372154,1635.9211570692362,1651.411847783002
51,1638.7757195337326,1638.7757195337326,1651.411847783002,1668.127197156843
52,1665.2241876160008,1665.2241876160008,1668.127197156843,1687.8944934378605
53,1678.229877011373,1678.229877011373,1694.2736296532876,1709.2106896141242
54,1718.8368405105164,1718.8368405105164,1741.0423393189808,1758.2364570818454
55,1765.7949480493057,1765.7949480493057,1780.2593929978216,1796.4359977071883
56,1805.5798265503083,1805.5798265503083,1807.197618935857,1827.177590799046
57,1854.6433819210024,1854.6433819210024,1877.008475671804,1893.1466351917188
58,1877.5761550363727,1877.5761550363727,1893.8459724985044,1915.446421806469
59,1932.7978174753441,1932.7978174753441,1949.2461614839224,1963.182457177714
60,1972.7463594162973,1972.7463594162973,2005.4368358785416,2020.315022525235
61,2024.4590059307368,2024.4590059307368,2031.3900420233276,2043.3927684683902
62,2078.4856497971978,2078.4856497971978,2107.2424625195135,2121.7639679415574
63,2108.518411501863,2108.518411501863,2121.7639679415574,2134.4984148486574
64,2153.0451372186103,2153.0451372186103,2166.3358388602032,2184.603286960163
65,2165.6539283774696,2166.3358388602032,2215.0989156374553,2235.19330626736
66,2206.4730969058814,2215.0989156374553,2235.19330626736,2260.932643973628
67,2227.263944999306,2227.263944999306,2260.932643973628,2279.555031354738
68,2266.9897246673286,2266.9897246673286,2279.555031354738,2291.239756568515
69,2275.5493568704123,2275.5493568704123,2291.239756568515,2306.7242597438235
70,2294.847484958358,2294.847484958358,2313.0305692472507,2335.4288208673165
71,2333.2238921790495,2333.2238921790495,2335.638321805999,2351.3339137320595
72,2360.7719596084685,2360.7719596084685,2372.054100211691,2388.34810514026
73,2384.1435273884144,2384.1435273884144,2400.0676265940156,2413.630032693917
74,2398.6682456323006,2400.0676265940156,2421.8043091898517,2438.731269641376
75,2414.9662769638376,2421.8043091898517,2438.731269641376,2459.153775855187
76,2469.1589099221337,2469.1589099221337,2471.6312378572447,2485.5290738418134
77,2482.5065165057763,2482.5065165057763,2485.5290738418134,2502.43052350509
78,2504.804169057853,2504.804169057853,2527.857297617953,2542.20775867809
79,2551.1039448805172,2551.1039448805172,2552.107444098083,2569.2309069820612
80,2582.3227292690326,2582.3227292690326,2590.533943396825,2607.709437929216
81,2625.0656339196503,2625.0656339196503,2630.6522680051953,2645.0998523892745
82,2680.1612402563082,2680.1612402563082,2697.306934827518,2713.8212705463607
83,2696.6880900092624,2697.306934827518,2713.8212705463607,2735.03642096829
84,2749.8757019210116,2749.8757019210116,2751.973129877638,2768.260756645834
85,2774.928630379782,2774.928630379782,2778.395539906825,2793.4409613071766
86,2807.4797253246224,2807.4797253246224,2816.39208004228,2836.345666044287
87,2850.8482805379667,2850.8482805379667,2869.3280590976074,2885.9053413472725
88,2864.715948560225,2869.3280590976074,2885.9053413472725,2898.963168041315
89,2909.8983304970334,2909.8983304970334,2915.9508158409512,2934.738719029864
90,2940.5666861981786,2940.5666861981786,2957.7879819231944,2967.7643034695666
91,2971.1000904375605,2971.1000904375605,3024.0366492709054,3040.9974503530107
92,2998.164017982968,3024.0366492709054,3040.9974503530107,3055.4296074400695
93,3007.228665537629,3027.8139159835123,3055.4296074400695,3066.632405114401
94,3041.0042305476486,3044.4054847770562,3082.6777739108775,3103.1565891975524
95,3077.1780077831345,3082.6777739108775,3103.1565891975524,3116.431536015976
96,3110.0988991855224,3110.0988991855224,3119.6019743427582,3137.5206875951812
97,3146.955541885011,3146.955541885011,3147.072382420238,3163.7861295032726
98,3182.140441523457,3182.140441523457,3183.2761616034277,3193.6848836183126
99,3198.944815172948,3198.944815172948,3201.6355145079187,3213.7079102994066
100,3223.3377133302833,3223.3377133302833,3226.2761070071438,3241.9070535006304
101,3252.198182216279,3252.198182216279,3255.282915064954,3272.7068451252717
102,3278.7889846669323,3278.7889846669323,3281.25928906499,3299.717261277133
103,3332.512123779247,3332.512123779247,3333.8239363017065,3347.657139203329
104,3387.68655915777,3387.68655915777,3402.89423488161,3416.4476497237674
105,3433.509450592463,3433.509450592463,3474.731261416577,3489.7205046669255
106,3441.383739791617,3474.731261416577,3489.7205046669255,3500.7435462701046
107,3480.2417418023,3480.2417418023,3500.7435462701046,3518.3085243216196
108,3489.4885615749704,3490.2057989795762,3518.3085243216196,3533.1998968902735
109,3501.9849490136726,3501.9849490136726,3533.1998968902735,3548.3230632148307
110,3527.7245279422273,3527.7245279422273,3548.3230632148307,3559.5252705227745
111,3547.364240291959,3547.364240291959,3559.5252705227745,3574.413241808718
112,3556.336151492748,3556.336151492748,3590.905992825487,3601.526117381161
113,3598.3608056084713,3598.3608056084713,3613.897853661791,3630.0615659032846
114,3625.3208470480135,3625.3208470480135,3630.0615659032846,3650.1002404036926
115,3677.7403145779895,3677.7403145779895,3713.8099445084117,3724.6885599760817
116,3720.460154556131,3720.460154556131,3749.3733689033265,3771.849772427915
117,3761.8986023505017,3761.8986023505017,3772.8683116640145,3784.6410290487966
118,3780.7702550895824,3780.7702550895824,3784.6410290487966,3801.505879121634
119,3830.190065267953,3830.190065267953,3837.341167992252,3851.9399079957307
120,3844.806149708402,3844.806149708402,3851.9399079957307,3867.6316127457353
121,3862.9340809575224,3862.9340809575224,3867.6316127457353,3883.4283019355084
122,3909.263172668224,3909.263172668224,3940.567740121802,3960.5204893464147
123,3954.4761522556937,3954.4761522556937,3960.5204893464147,3970.824087508872
124,3990.1732283358997,3990.1732283358997,4007.818424809724,4024.8264892200796
125,4013.553300141234,4013.553300141234,4024.8264892200796,4039.9222060455136
126,4032.3642730122274,4032.3642730122274,4039.9222060455136,4058.512376969185
127,4086.99688525334,4086.99688525334,4106.2537695177025,4123.885684217725
128,4102.132242367705,4106.2537695177025,4123.885684217725,4136.8998008227345
129,4130.626868065483,4130.626868065483,4136.8998008227345,4149.173386221538
130,4160.202154669718,4160.202154669718,4171.424561210777,4186.23922577627
131,4170.691729584625,4171.424561210777,4186.23922577627,4201.216715054018
132,4222.168991099704,4222.168991099704,4283.11408730969,4297.941280983972
133,4274.548297191278,4283.11408730969,4297.941280983972,4314.915510924693
134,4325.072483141759,4325.072483141759,4325.952345710662,4342.007832648434
135,4358.584855171294,4358.584855171294,4360.2771917188,4377.600873434488
136,4401.707584967308,4401.707584967308,4408.318193876854,4427.822582237051
137,4424.458809505617,4424.458809505617,4427.822582237051,4443.42619584212
138,4433.396335300383,4433.396335300383,4454.585067308478,4475.000696142084
139,4464.135440200225,4464.135440200225,4498.208242855884,4515.077865123897
140,4484.23848107596,4498.208242855884,4515.077865123897,4526.730513972369
141,4537.737017413365,4537.737017413365,4539.283558794202,4550.539724786194
142,4576.657116979366,4576.657116979366,4580.46633558867,4601.556734878431
143,4585.250959920795,4585.250959920795,4601.556734878431,4619.1142522022
144,4626.069730846807,4626.069730846807,4626.517458035748,4639.909351991288
145,4674.018740173814,4674.018740173814,4676.014284468565,4687.445962249197
146,4719.1960039915975,4719.1960039915975,4730.222611541019,4743.9974351177125
147,4768.781043390886,4768.781043390886,4812.201227301153,4828.937451763799
148,4820.526857910047,4820.526857910047,4828.937451763799,4845.515581965683
149,4860.04667450826,4860.04667450826,4872.028907386858,4890.345078383188
150,4902.046751953112,4902.046751953112,4906.634243158185,4924.872068651946
151,4915.3683795725165,4915.3683795725165,4926.456631904416,4946.523069055241
152,4948.522917925352,4948.522917925352,4962.48791791869,4974.754859848488
153,4963.94449604604,4963.94449604604,4974.754859848488,4995.110646793051
154,4997.32730958646,4997.32730958646,5029.163990922972,5046.482452985511
155,5053.004861818184,5053.004861818184,5060.352025022173,5076.201454135084
156,5075.97646180323,5075.97646180323,5087.146263063851,5102.836960258421
157,5126.8623796815855,5126.8623796815855,5129.691597169202,5149.194468785538
158,5155.180082936977,5155.180082936977,5180.05526678997,5193.052556986312
159,5182.207381562557,5182.207381562557,5193.052556986312,5210.860365958868
160,5218.993292728695,5218.993292728695,5252.971567214861,5267.249929862297
161,5267.223033488782,5267.223033488782,5274.69437292792,5292.253227193871
162,5279.287893273913,5279.287893273913,5292.253227193871,5308.557404726872
163,5303.827856169555,5303.827856169555,5360.85719849297,5374.140115411007
164,5320.630850753049,5360.85719849297,5374.140115411007,5388.740779564133
165,5337.618924643934,5363.638605485545,5388.740779564133,5398.547701746193
166,5392.901511651055,5392.901511651055,5406.289205395304,5422.04947965058
167,5426.241830423969,5426.241830423969,5427.165917926057,5445.740169239991
168,5454.916517459295,5454.916517459295,5475.615213949122,5491.416975790068
169,5477.276854840415,5477.276854840415,5491.416975790068,5510.550402608444
170,5520.716161019904,5520.716161019904,5552.288881291017,5566.242638660875
171,5542.920258378083,5552.288881291017,5566.242638660875,5579.190425523473
172,5565.642072699217,5565.642072699217,5579.190425523473,5593.834333280098
173,5611.4680086143235,5611.4680086143235,5622.000868667708,5638.30035450179
174,5650.481219742625,5650.481219742625,5651.219165464477,5662.127622206607
175,5665.845490931032,5665.845490931032,5674.529923625244,5688.0713544390455
176,5712.060762374475,5712.060762374475,5738.548594396477,5759.880455705297
177,5734.297909163277,5738.548594396477,5759.880455705297,5775.696543555377
178,5750.214115561078,5752.079336390857,5775.696543555377,5789.434378873468
179,5761.097046554675,5773.977501553192,5793.859058282663,5804.022241875184
180,5794.344862333074,5794.344862333074,5804.022241875184,5820.391080057144
181,5829.219384803622,5829.219384803622,5829.956931285883,5839.604140356147
182,5846.533806575628,5846.533806575628,5863.342691196597,5879.375686593246
183,5854.481485844246,5863.342691196597,5879.375686593246,5897.016406455768
184,5867.390161087249,5871.566474975294,5897.016406455768,5913.049675996671
185,5909.82872200125,5909.82872200125,5922.504435265683,5939.694358693005
186,5928.087012275256,5928.087012275256,5944.075281080233,5962.0648056741375
187,5960.9495082622525,5960.9495082622525,5971.613728950103,5989.912775789199
188,6009.611515526971,6009.611515526971,6016.361781060596,6035.872034835964
189,6051.617551626868,6051.617551626868,6094.153320610015,6109.044023085724
190,6068.530629585382,6094.153320610015,6109.044023085724,6131.0470512533075
191,6077.364940330532,6096.203122983479,6131.0470512533075,6145.977829989947
192,6094.757012660157,6101.462166904969,6145.977829989947,6159.705924858272
193,6105.188124603754,6118.20307738742,6159.705924858272,6173.759993182575
194,6155.916080839177,6155.916080839177,6173.759993182575,6190.350812317592
195,6194.857138019949,6194.857138019949,6217.172665839387,6237.2993618348
196,6206.370620750178,6217.172665839387,6237.2993618348,6255.418650867622
197,6260.355979858739,6260.355979858739,6273.8297671528935,6289.211761211755
198,6303.14403509092,6303.14403509092,6306.464864067229,6322.89125161024
199,6345.878986923862,6345.878986923862,6347.857625852453,6360.482583324603
