# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:52
# parameter: seed = 1896507
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       0.056,     2,Finish(1),before,   1,   0,   0,   1,   0
       0.056,     2,Finish(1), after,   2,   0,   0,   0,   1
       8.693,     1,  Arrival,before,   1,   0,   0,   0,   1
       8.693,     1,  Arrival, after,   3,   0,   0,   1,   1
      13.941,     3,Finish(2),before,   2,   0,   0,   1,   1
      13.941,     3,Finish(2), after,   2,   0,   0,   1,   0
      16.517,     5,Finish(1),before,   1,   0,   0,   1,   0
      16.517,     5,Finish(1), after,   2,   0,   0,   0,   1
      27.116,     4,  Arrival,before,   1,   0,   0,   0,   1
      27.116,     4,  Arrival, after,   3,   0,   0,   1,   1
      29.957,     6,Finish(2),before,   2,   0,   0,   1,   1
      29.957,     6,Finish(2), after,   2,   0,   0,   1,   0
      37.669,     8,Finish(1),before,   1,   0,   0,   1,   0
      37.669,     8,Finish(1), after,   2,   0,   0,   0,   1
      44.105,     7,  Arrival,before,   1,   0,   0,   0,   1
      44.105,     7,  Arrival, after,   3,   0,   0,   1,   1
      54.225,    11,Finish(1),before,   2,   0,   0,   1,   1
      54.225,    11,Finish(1), after,   2,   0,   1,   0,   1
      59.974,     9,Finish(2),before,   1,   0,   1,   0,   1
      59.974,     9,Finish(2), after,   2,   0,   0,   0,   1
      71.008,    12,Finish(2),before,   1,   0,   0,   0,   1
      71.008,    12,Finish(2), after,   1,   0,   0,   0,   0
      94.234,    10,  Arrival,before,   0,   0,   0,   0,   0
      94.234,    10,  Arrival, after,   2,   0,   0,   1,   0
     107.062,    13,  Arrival,before,   1,   0,   0,   1,   0
     107.062,    13,  Arrival, after,   2,   1,   0,   1,   0
     107.876,    14,Finish(1),before,   1,   1,   0,   1,   0
     107.876,    14,Finish(1), after,   3,   0,   0,   1,   1
     121.039,    17,Finish(2),before,   2,   0,   0,   1,   1
     121.039,    17,Finish(2), after,   2,   0,   0,   1,   0
     130.605,    16,Finish(1),before,   1,   0,   0,   1,   0
