time,total_ships,harbour_ships
80,0.6666666666666666,0.0
160,0.6666666666666666,0.0
240,0.8888888888888888,0.0
320,0.8,0.0
400,1.3636363636363635,0.2727272727272727
480,0.6,0.0
560,1.25,0.0
640,3.0,1.2727272727272727
720,0.8571428571428571,0.14285714285714285
800,2.5714285714285716,0.42857142857142855
880,2.25,1.0
960,0.5,0.0
1040,0.6666666666666666,0.0
1120,1.375,0.125
1200,1.2857142857142858,0.14285714285714285
1280,0.75,0.0
1360,0.5714285714285714,0.0
1440,0.6666666666666666,0.0
1520,1.125,0.125
1600,1.4166666666666667,0.25
1680,0.5,0.0
1760,1.0,0.0
1840,1.9,0.2
1920,0.8333333333333334,0.16666666666666666
2000,2.0,0.14285714285714285
2080,1.375,0.125
2160,1.1428571428571428,0.0
2240,1.2857142857142858,0.14285714285714285
2320,0.5714285714285714,0.0
2400,0.6666666666666666,0.0
2480,1.0,0.0
2560,1.1,0.0
2640,0.8571428571428571,0.0
2720,0.6666666666666666,0.0
2800,0.8,0.0
2880,1.7142857142857142,0.0
2960,2.5,0.9
3040,1.5555555555555556,0.2222222222222222
3120,1.0,0.1111111111111111
3200,1.0,0.0
3280,0.8,0.0
3360,0.5714285714285714,0.0
3440,1.1666666666666667,0.16666666666666666
3520,1.0,0.0
3600,0.5,0.0
3680,0.6666666666666666,0.0
3760,1.1428571428571428,0.14285714285714285
3840,1.9166666666666667,0.4166666666666667
3920,2.2222222222222223,0.5555555555555556
4000,1.0,0.125
4080,0.75,0.0
4160,0.6666666666666666,0.0
4240,1.375,0.25
4320,1.125,0.125
4400,1.125,0.125
4480,1.125,0.0
4560,1.7142857142857142,0.2857142857142857
4640,0.625,0.0
4720,1.2222222222222223,0.1111111111111111
4800,2.1666666666666665,0.75
4880,1.2222222222222223,0.1111111111111111
4960,1.3333333333333333,0.2222222222222222
5040,1.375,0.125
5120,1.0,0.0
5200,1.4,0.1
5280,1.0,0.0
5360,1.9,0.6
5440,1.6666666666666667,0.4444444444444444
5520,1.0833333333333333,0.08333333333333333
5600,0.8888888888888888,0.0
5680,0.5714285714285714,0.0
5760,1.0,0.1111111111111111
5840,0.8,0.0
5920,0.8888888888888888,0.0
6000,0.8571428571428571,0.0
6080,1.0,0.0
6160,0.6,0.0
6240,1.0,0.0
6320,2.1666666666666665,0.4166666666666667
6400,1.1666666666666667,0.16666666666666666
6480,1.0,0.0
6560,0.6666666666666666,0.0
6640,1.4,0.0
6720,2.0,0.4444444444444444
6800,1.0,0.0
6880,1.6,0.2
6960,0.6,0.0
7040,0.7142857142857143,0.0
7120,0.6666666666666666,0.0
7200,0.8571428571428571,0.0
7280,0.6666666666666666,0.0
7360,0.6666666666666666,0.0
7440,0.6666666666666666,0.0
7520,2.857142857142857,0.0
7600,2.909090909090909,0.6363636363636364
7680,1.4444444444444444,0.2222222222222222
7760,0.6666666666666666,0.0
7840,1.1666666666666667,0.0
7920,0.875,0.125
8000,1.0,0.14285714285714285
8080,1.7142857142857142,0.2857142857142857
8160,0.6666666666666666,0.0
8240,2.0,0.45454545454545453
8320,1.6666666666666667,0.2222222222222222
8400,0.6666666666666666,0.0
8480,1.0,0.0
8560,1.1,0.1
8640,1.1428571428571428,0.14285714285714285
8720,1.0,0.0
8800,0.6,0.0
8880,1.0,0.0
8960,0.6,0.0
9040,1.0,0.0
9120,1.0,0.0
9200,2.8666666666666667,1.3333333333333333
9280,1.2222222222222223,0.1111111111111111
9360,1.1428571428571428,0.14285714285714285
9440,0.6666666666666666,0.0
9520,1.2857142857142858,0.0
9600,1.3,0.2
9680,1.6666666666666667,0.3333333333333333
9760,0.8888888888888888,0.0
9840,0.6,0.0
9920,1.8571428571428572,0.14285714285714285
10000,1.5,0.375
10080,1.7777777777777777,0.3333333333333333
10160,1.0,0.0
10240,1.3,0.1
10320,0.8571428571428571,0.0
10400,1.125,0.125
10480,0.5714285714285714,0.0
10560,1.1666666666666667,0.16666666666666666
10640,1.0,0.0
10720,0.6666666666666666,0.0
10800,0.5714285714285714,0.0
10880,1.1666666666666667,0.16666666666666666
10960,1.125,0.0
11040,1.4285714285714286,0.2857142857142857
11120,1.0,0.0
11200,1.25,0.08333333333333333
11280,1.0,0.125
11360,1.125,0.125
11440,0.6,0.0
11520,1.2857142857142858,0.14285714285714285
11600,1.4,0.2
11680,2.3333333333333335,0.3333333333333333
11760,1.2,0.1
11840,1.4,0.2
11920,1.5714285714285714,0.14285714285714285
12000,0.875,0.0
12080,0.75,0.0
12160,1.0,0.1111111111111111
12240,0.7142857142857143,0.0
12320,0.5,0.0
12400,0.6666666666666666,0.0
12480,1.1666666666666667,0.16666666666666666
12560,1.5384615384615385,0.23076923076923078
12640,0.6666666666666666,0.0
12720,1.8333333333333333,0.4166666666666667
12800,0.7142857142857143,0.0
12880,1.3333333333333333,0.16666666666666666
12960,0.6,0.0
13040,1.4444444444444444,0.0
13120,1.0,0.125
13200,1.4545454545454546,0.18181818181818182
13280,1.875,0.625
13360,1.75,0.625
13440,0.6666666666666666,0.0
13520,0.8,0.0
13600,1.25,0.0
13680,2.5,0.6666666666666666
13760,0.6666666666666666,0.0
13840,1.3333333333333333,0.2222222222222222
13920,0.8,0.0
14000,0.6666666666666666,0.0
14080,1.0,0.14285714285714285
