# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:57
# parameter: seed = 1896569
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       7.545,     2,Finish(1),before,   1,   0,   0,   1,   0
       7.545,     2,Finish(1), after,   2,   0,   0,   0,   1
      17.719,     1,  Arrival,before,   1,   0,   0,   0,   1
      17.719,     1,  Arrival, after,   3,   0,   0,   1,   1
      25.122,     3,Finish(2),before,   2,   0,   0,   1,   1
      25.122,     3,Finish(2), after,   2,   0,   0,   1,   0
      25.907,     5,Finish(1),before,   1,   0,   0,   1,   0
      25.907,     5,Finish(1), after,   2,   0,   0,   0,   1
      43.243,     6,Finish(2),before,   1,   0,   0,   0,   1
      43.243,     6,Finish(2), after,   1,   0,   0,   0,   0
      49.933,     4,  Arrival,before,   0,   0,   0,   0,   0
      49.933,     4,  Arrival, after,   2,   0,   0,   1,   0
      63.430,     8,Finish(1),before,   1,   0,   0,   1,   0
      63.430,     8,Finish(1), after,   2,   0,   0,   0,   1
      75.630,     9,Finish(2),before,   1,   0,   0,   0,   1
      75.630,     9,Finish(2), after,   1,   0,   0,   0,   0
      98.659,     7,  Arrival,before,   0,   0,   0,   0,   0
      98.659,     7,  Arrival, after,   2,   0,   0,   1,   0
     100.161,    11,Finish(1),before,   1,   0,   0,   1,   0
     100.161,    11,Finish(1), after,   2,   0,   0,   0,   1
     114.810,    12,Finish(2),before,   1,   0,   0,   0,   1
     114.810,    12,Finish(2), after,   1,   0,   0,   0,   0
     132.800,    10,  Arrival,before,   0,   0,   0,   0,   0
     132.800,    10,  Arrival, after,   2,   0,   0,   1,   0
     153.801,    14,Finish(1),before,   1,   0,   0,   1,   0
     153.801,    14,Finish(1), after,   2,   0,   0,   0,   1
     166.395,    13,  Arrival,before,   1,   0,   0,   0,   1
     166.395,    13,  Arrival, after,   3,   0,   0,   1,   1
     169.218,    15,Finish(2),before,   2,   0,   0,   1,   1
     169.218,    15,Finish(2), after,   2,   0,   0,   1,   0
     173.433,    17,Finish(1),before,   1,   0,   0,   1,   0
