# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896476
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
     564.314,    46,  Arrival,before,   0,   0,   0,   0,   0
     564.314,    46,  Arrival, after,   2,   0,   0,   1,   0
     587.442,    49,  Arrival,before,   1,   0,   0,   1,   0
     587.442,    49,  Arrival, after,   2,   1,   0,   1,   0
     587.610,    50,Finish(1),before,   1,   1,   0,   1,   0
     587.610,    50,Finish(1), after,   3,   0,   0,   1,   1
     604.790,    52,Finish(1),before,   2,   0,   0,   1,   1
     604.790,    52,Finish(1), after,   2,   0,   1,   0,   1
     609.763,    53,Finish(2),before,   1,   0,   1,   0,   1
     609.763,    53,Finish(2), after,   2,   0,   0,   0,   1
     625.292,    54,Finish(2),before,   1,   0,   0,   0,   1
     625.292,    54,Finish(2), after,   1,   0,   0,   0,   0
     633.129,    51,  Arrival,before,   0,   0,   0,   0,   0
     633.129,    51,  Arrival, after,   2,   0,   0,   1,   0
     646.234,    56,Finish(1),before,   1,   0,   0,   1,   0
     646.234,    56,Finish(1), after,   2,   0,   0,   0,   1
     662.326,    57,Finish(2),before,   1,   0,   0,   0,   1
     662.326,    57,Finish(2), after,   1,   0,   0,   0,   0
     668.536,    55,  Arrival,before,   0,   0,   0,   0,   0
     668.536,    55,  Arrival, after,   2,   0,   0,   1,   0
     688.833,    58,  Arrival,before,   1,   0,   0,   1,   0
     688.833,    58,  Arrival, after,   2,   1,   0,   1,   0
     691.976,    59,Finish(1),before,   1,   1,   0,   1,   0
     691.976,    59,Finish(1), after,   3,   0,   0,   1,   1
     698.565,    61,Finish(1),before,   2,   0,   0,   1,   1
     698.565,    61,Finish(1), after,   2,   0,   1,   0,   1
     703.400,    62,Finish(2),before,   1,   0,   1,   0,   1
     703.400,    62,Finish(2), after,   2,   0,   0,   0,   1
     717.137,    63,Finish(2),before,   1,   0,   0,   0,   1
     717.137,    63,Finish(2), after,   1,   0,   0,   0,   0
     731.678,    60,  Arrival,before,   0,   0,   0,   0,   0
     731.678,    60,  Arrival, after,   2,   0,   0,   1,   0
     737.913,    65,Finish(1),before,   1,   0,   0,   1,   0
     737.913,    65,Finish(1), after,   2,   0,   0,   0,   1
     747.524,    66,Finish(2),before,   1,   0,   0,   0,   1
     747.524,    66,Finish(2), after,   1,   0,   0,   0,   0
     782.073,    64,  Arrival,before,   0,   0,   0,   0,   0
     782.073,    64,  Arrival, after,   2,   0,   0,   1,   0
     791.001,    68,Finish(1),before,   1,   0,   0,   1,   0
     791.001,    68,Finish(1), after,   2,   0,   0,   0,   1
     810.132,    69,Finish(2),before,   1,   0,   0,   0,   1
     810.132,    69,Finish(2), after,   1,   0,   0,   0,   0
     815.380,    67,  Arrival,before,   0,   0,   0,   0,   0
     815.380,    67,  Arrival, after,   2,   0,   0,   1,   0
     841.327,    71,Finish(1),before,   1,   0,   0,   1,   0
     841.327,    71,Finish(1), after,   2,   0,   0,   0,   1
     858.078,    72,Finish(2),before,   1,   0,   0,   0,   1
     858.078,    72,Finish(2), after,   1,   0,   0,   0,   0
     862.602,    70,  Arrival,before,   0,   0,   0,   0,   0
     862.602,    70,  Arrival, after,   2,   0,   0,   1,   0
     872.590,    73,  Arrival,before,   1,   0,   0,   1,   0
     872.590,    73,  Arrival, after,   2,   1,   0,   1,   0
     882.425,    74,Finish(1),before,   1,   1,   0,   1,   0
     882.425,    74,Finish(1), after,   3,   0,   0,   1,   1
     884.012,    76,Finish(1),before,   2,   0,   0,   1,   1
     884.012,    76,Finish(1), after,   2,   0,   1,   0,   1
     895.937,    77,Finish(2),before,   1,   0,   1,   0,   1
     895.937,    77,Finish(2), after,   2,   0,   0,   0,   1
     911.021,    78,Finish(2),before,   1,   0,   0,   0,   1
     911.021,    78,Finish(2), after,   1,   0,   0,   0,   0
     921.841,    75,  Arrival,before,   0,   0,   0,   0,   0
     921.841,    75,  Arrival, after,   2,   0,   0,   1,   0
     931.429,    80,Finish(1),before,   1,   0,   0,   1,   0
     931.429,    80,Finish(1), after,   2,   0,   0,   0,   1
     951.047,    81,Finish(2),before,   1,   0,   0,   0,   1
     951.047,    81,Finish(2), after,   1,   0,   0,   0,   0
     968.318,    79,  Arrival,before,   0,   0,   0,   0,   0
     968.318,    79,  Arrival, after,   2,   0,   0,   1,   0
     968.404,    83,Finish(1),before,   1,   0,   0,   1,   0
     968.404,    83,Finish(1), after,   2,   0,   0,   0,   1
     987.394,    84,Finish(2),before,   1,   0,   0,   0,   1
     987.394,    84,Finish(2), after,   1,   0,   0,   0,   0
    1017.253,    82,  Arrival,before,   0,   0,   0,   0,   0
    1017.253,    82,  Arrival, after,   2,   0,   0,   1,   0
    1034.533,    86,Finish(1),before,   1,   0,   0,   1,   0
    1034.533,    86,Finish(1), after,   2,   0,   0,   0,   1
    1044.876,    87,Finish(2),before,   1,   0,   0,   0,   1
    1044.876,    87,Finish(2), after,   1,   0,   0,   0,   0
    1065.085,    85,  Arrival,before,   0,   0,   0,   0,   0
    1065.085,    85,  Arrival, after,   2,   0,   0,   1,   0
    1072.489,    89,Finish(1),before,   1,   0,   0,   1,   0
    1072.489,    89,Finish(1), after,   2,   0,   0,   0,   1
    1089.809,    90,Finish(2),before,   1,   0,   0,   0,   1
    1089.809,    90,Finish(2), after,   1,   0,   0,   0,   0
    1100.029,    88,  Arrival,before,   0,   0,   0,   0,   0
    1100.029,    88,  Arrival, after,   2,   0,   0,   1,   0
    1119.490,    91,  Arrival,before,   1,   0,   0,   1,   0
    1119.490,    91,  Arrival, after,   2,   1,   0,   1,   0
    1124.856,    92,Finish(1),before,   1,   1,   0,   1,   0
    1124.856,    92,Finish(1), after,   3,   0,   0,   1,   1
    1141.144,    95,Finish(2),before,   2,   0,   0,   1,   1
    1141.144,    95,Finish(2), after,   2,   0,   0,   1,   0
    1142.751,    93,  Arrival,before,   1,   0,   0,   1,   0
    1142.751,    93,  Arrival, after,   2,   1,   0,   1,   0
    1147.901,    94,Finish(1),before,   1,   1,   0,   1,   0
    1147.901,    94,Finish(1), after,   3,   0,   0,   1,   1
    1154.082,    97,Finish(1),before,   2,   0,   0,   1,   1
    1154.082,    97,Finish(1), after,   2,   0,   1,   0,   1
    1163.233,    98,Finish(2),before,   1,   0,   1,   0,   1
    1163.233,    98,Finish(2), after,   2,   0,   0,   0,   1
    1175.836,    99,Finish(2),before,   1,   0,   0,   0,   1
    1175.836,    99,Finish(2), after,   1,   0,   0,   0,   0
    1193.375,    96,  Arrival,before,   0,   0,   0,   0,   0
    1193.375,    96,  Arrival, after,   2,   0,   0,   1,   0
    1217.490,   101,Finish(1),before,   1,   0,   0,   1,   0
    1217.490,   101,Finish(1), after,   2,   0,   0,   0,   1
    1229.945,   102,Finish(2),before,   1,   0,   0,   0,   1
    1229.945,   102,Finish(2), after,   1,   0,   0,   0,   0
    1247.460,   100,  Arrival,before,   0,   0,   0,   0,   0
    1247.460,   100,  Arrival, after,   2,   0,   0,   1,   0
    1275.205,   104,Finish(1),before,   1,   0,   0,   1,   0
    1275.205,   104,Finish(1), after,   2,   0,   0,   0,   1
    1290.434,   105,Finish(2),before,   1,   0,   0,   0,   1
    1290.434,   105,Finish(2), after,   1,   0,   0,   0,   0
    1294.258,   103,  Arrival,before,   0,   0,   0,   0,   0
    1294.258,   103,  Arrival, after,   2,   0,   0,   1,   0
    1296.606,   107,Finish(1),before,   1,   0,   0,   1,   0
    1296.606,   107,Finish(1), after,   2,   0,   0,   0,   1
    1310.909,   108,Finish(2),before,   1,   0,   0,   0,   1
    1310.909,   108,Finish(2), after,   1,   0,   0,   0,   0
    1348.284,   106,  Arrival,before,   0,   0,   0,   0,   0
    1348.284,   106,  Arrival, after,   2,   0,   0,   1,   0
    1360.617,   110,Finish(1),before,   1,   0,   0,   1,   0
    1360.617,   110,Finish(1), after,   2,   0,   0,   0,   1
    1370.976,   111,Finish(2),before,   1,   0,   0,   0,   1
    1370.976,   111,Finish(2), after,   1,   0,   0,   0,   0
