# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896474
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       5.605,     2,Finish(1),before,   1,   0,   0,   1,   0
       5.605,     2,Finish(1), after,   2,   0,   0,   0,   1
      14.728,     1,  Arrival,before,   1,   0,   0,   0,   1
      14.728,     1,  Arrival, after,   3,   0,   0,   1,   1
      19.880,     3,Finish(2),before,   2,   0,   0,   1,   1
      19.880,     3,Finish(2), after,   2,   0,   0,   1,   0
      22.956,     5,Finish(1),before,   1,   0,   0,   1,   0
      22.956,     5,Finish(1), after,   2,   0,   0,   0,   1
      40.330,     6,Finish(2),before,   1,   0,   0,   0,   1
      40.330,     6,Finish(2), after,   1,   0,   0,   0,   0
      44.392,     4,  Arrival,before,   0,   0,   0,   0,   0
      44.392,     4,  Arrival, after,   2,   0,   0,   1,   0
      67.663,     8,Finish(1),before,   1,   0,   0,   1,   0
      67.663,     8,Finish(1), after,   2,   0,   0,   0,   1
      79.301,     9,Finish(2),before,   1,   0,   0,   0,   1
      79.301,     9,Finish(2), after,   1,   0,   0,   0,   0
      91.714,     7,  Arrival,before,   0,   0,   0,   0,   0
      91.714,     7,  Arrival, after,   2,   0,   0,   1,   0
     104.677,    11,Finish(1),before,   1,   0,   0,   1,   0
     104.677,    11,Finish(1), after,   2,   0,   0,   0,   1
     112.416,    10,  Arrival,before,   1,   0,   0,   0,   1
     112.416,    10,  Arrival, after,   3,   0,   0,   1,   1
     116.817,    12,Finish(2),before,   2,   0,   0,   1,   1
     116.817,    12,Finish(2), after,   2,   0,   0,   1,   0
     145.099,    14,Finish(1),before,   1,   0,   0,   1,   0
     145.099,    14,Finish(1), after,   2,   0,   0,   0,   1
     162.280,    15,Finish(2),before,   1,   0,   0,   0,   1
     162.280,    15,Finish(2), after,   1,   0,   0,   0,   0
     167.610,    13,  Arrival,before,   0,   0,   0,   0,   0
     167.610,    13,  Arrival, after,   2,   0,   0,   1,   0
     179.799,    17,Finish(1),before,   1,   0,   0,   1,   0
