# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:50
# parameter: seed = 1896470
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       7.477,     2,Finish(1),before,   1,   0,   0,   1,   0
       7.477,     2,Finish(1), after,   2,   0,   0,   0,   1
      24.808,     3,Finish(2),before,   1,   0,   0,   0,   1
      24.808,     3,Finish(2), after,   1,   0,   0,   0,   0
      35.823,     1,  Arrival,before,   0,   0,   0,   0,   0
      35.823,     1,  Arrival, after,   2,   0,   0,   1,   0
      43.201,     5,Finish(1),before,   1,   0,   0,   1,   0
      43.201,     5,Finish(1), after,   2,   0,   0,   0,   1
      53.758,     4,  Arrival,before,   1,   0,   0,   0,   1
      53.758,     4,  Arrival, after,   3,   0,   0,   1,   1
      58.734,     6,Finish(2),before,   2,   0,   0,   1,   1
      58.734,     6,Finish(2), after,   2,   0,   0,   1,   0
      59.809,     8,Finish(1),before,   1,   0,   0,   1,   0
      59.809,     8,Finish(1), after,   2,   0,   0,   0,   1
      75.398,     9,Finish(2),before,   1,   0,   0,   0,   1
      75.398,     9,Finish(2), after,   1,   0,   0,   0,   0
      97.485,     7,  Arrival,before,   0,   0,   0,   0,   0
      97.485,     7,  Arrival, after,   2,   0,   0,   1,   0
     100.391,    11,Finish(1),before,   1,   0,   0,   1,   0
     100.391,    11,Finish(1), after,   2,   0,   0,   0,   1
     116.246,    12,Finish(2),before,   1,   0,   0,   0,   1
     116.246,    12,Finish(2), after,   1,   0,   0,   0,   0
     139.348,    10,  Arrival,before,   0,   0,   0,   0,   0
     139.348,    10,  Arrival, after,   2,   0,   0,   1,   0
     148.667,    14,Finish(1),before,   1,   0,   0,   1,   0
     148.667,    14,Finish(1), after,   2,   0,   0,   0,   1
     156.040,    13,  Arrival,before,   1,   0,   0,   0,   1
     156.040,    13,  Arrival, after,   3,   0,   0,   1,   1
     158.688,    17,Finish(1),before,   2,   0,   0,   1,   1
     158.688,    17,Finish(1), after,   2,   0,   1,   0,   1
     167.158,    15,Finish(2),before,   1,   0,   1,   0,   1
