time,total_ships,harbour_ships
80,0.75,0.0
160,0.5,0.0
240,1.4,0.2
320,1.2222222222222223,0.1111111111111111
400,1.5,0.1
480,1.6666666666666667,0.4166666666666667
560,1.1428571428571428,0.14285714285714285
640,1.1666666666666667,0.16666666666666666
720,2.2,0.5
800,1.4285714285714286,0.0
880,1.3,0.2
960,0.75,0.0
1040,1.1,0.1
1120,1.0,0.0
1200,1.125,0.125
1280,0.875,0.0
1360,1.0,0.125
1440,1.125,0.0
1520,1.625,0.25
1600,0.6666666666666666,0.0
1680,0.6,0.0
1760,1.5714285714285714,0.14285714285714285
1840,0.7142857142857143,0.0
1920,1.4166666666666667,0.16666666666666666
2000,0.6,0.0
2080,1.5714285714285714,0.14285714285714285
2160,0.6,0.0
2240,1.375,0.25
2320,0.8,0.0
2400,0.8571428571428571,0.0
2480,1.0,0.0
2560,1.125,0.125
2640,0.625,0.0
2720,1.0,0.125
2800,0.6666666666666666,0.0
2880,1.125,0.125
2960,1.3333333333333333,0.2222222222222222
3040,0.625,0.0
3120,0.7142857142857143,0.0
3200,0.625,0.0
3280,0.6,0.0
3360,1.25,0.0
3440,1.8,0.4
3520,0.6666666666666666,0.0
3600,2.0,0.3333333333333333
3680,1.7272727272727273,0.5454545454545454
3760,1.3,0.2
3840,0.6666666666666666,0.0
3920,1.375,0.125
4000,1.1,0.0
4080,2.111111111111111,0.4444444444444444
4160,0.6666666666666666,0.0
4240,0.6,0.0
4320,1.0,0.0
4400,1.4,0.2
4480,1.3,0.1
4560,2.0,0.46153846153846156
4640,1.5384615384615385,0.23076923076923078
4720,1.1,0.1
4800,1.4615384615384615,0.23076923076923078
4880,0.875,0.0
4960,1.0,0.0
5040,1.6363636363636365,0.36363636363636365
5120,1.2857142857142858,0.14285714285714285
5200,0.6666666666666666,0.0
5280,0.6,0.0
5360,1.7142857142857142,0.14285714285714285
5440,1.0,0.14285714285714285
5520,0.8,0.0
5600,0.6666666666666666,0.0
5680,0.6666666666666666,0.0
5760,0.5714285714285714,0.0
5840,1.1666666666666667,0.16666666666666666
5920,1.1111111111111112,0.0
6000,1.3333333333333333,0.16666666666666666
6080,1.0,0.2
6160,0.8571428571428571,0.0
6240,2.0,0.14285714285714285
6320,1.25,0.0
6400,0.75,0.0
6480,0.6,0.0
6560,1.0,0.0
6640,0.6666666666666666,0.0
6720,1.0,0.14285714285714285
6800,0.6666666666666666,0.0
6880,1.1666666666666667,0.16666666666666666
6960,1.1666666666666667,0.16666666666666666
7040,0.6666666666666666,0.0
7120,2.1818181818181817,0.09090909090909091
7200,1.0,0.14285714285714285
7280,0.75,0.0
7360,1.4444444444444444,0.2222222222222222
7440,2.230769230769231,0.23076923076923078
7520,1.4444444444444444,0.4444444444444444
7600,1.375,0.25
7680,0.6666666666666666,0.0
7760,1.1428571428571428,0.14285714285714285
7840,0.6666666666666666,0.0
7920,1.1428571428571428,0.0
8000,1.125,0.125
8080,2.0,0.14285714285714285
8160,1.6666666666666667,0.3333333333333333
8240,1.1818181818181819,0.09090909090909091
8320,0.5,0.0
8400,2.0,0.625
8480,1.8181818181818181,0.2727272727272727
8560,1.3333333333333333,0.2222222222222222
8640,0.875,0.0
8720,1.25,0.0
8800,1.4444444444444444,0.2222222222222222
8880,0.6,0.0
8960,0.75,0.0
9040,0.6666666666666666,0.0
9120,1.1428571428571428,0.0
9200,0.8333333333333334,0.16666666666666666
9280,0.6666666666666666,0.0
9360,0.6666666666666666,0.0
9440,1.4,0.2
9520,1.3333333333333333,0.0
9600,2.888888888888889,0.1111111111111111
9680,1.125,0.125
9760,1.1428571428571428,0.14285714285714285
9840,1.1,0.0
9920,0.5,0.0
10000,0.7142857142857143,0.0
10080,1.3333333333333333,0.08333333333333333
10160,2.2,0.3
10240,1.2222222222222223,0.1111111111111111
10320,1.8181818181818181,0.18181818181818182
10400,0.6,0.0
10480,1.125,0.125
10560,0.5714285714285714,0.0
10640,0.6666666666666666,0.0
10720,0.75,0.0
10800,1.0,0.0
10880,1.3,0.1
10960,1.2857142857142858,0.14285714285714285
11040,1.375,0.125
11120,0.6666666666666666,0.0
11200,1.0,0.125
11280,0.6666666666666666,0.0
11360,1.375,0.125
11440,1.375,0.25
11520,0.875,0.0
11600,2.2,0.4
11680,1.5555555555555556,0.1111111111111111
11760,0.5714285714285714,0.0
11840,1.1818181818181819,0.09090909090909091
11920,1.125,0.0
12000,1.1666666666666667,0.16666666666666666
12080,0.625,0.0
12160,1.4,0.2
12240,0.6,0.0
12320,2.111111111111111,0.2222222222222222
12400,1.7,0.5
12480,1.2727272727272727,0.09090909090909091
12560,1.0,0.125
12640,1.125,0.125
12720,1.0,0.0
12800,1.1111111111111112,0.2222222222222222
12880,1.0,0.0
12960,1.2,0.2
13040,0.8,0.0
13120,0.6666666666666666,0.0
13200,0.6666666666666666,0.0
13280,1.0,0.0
13360,1.7142857142857142,0.14285714285714285
13440,1.125,0.125
13520,1.0,0.125
13600,1.1666666666666667,0.0
13680,0.7142857142857143,0.0
13760,1.1428571428571428,0.14285714285714285
13840,0.8888888888888888,0.0
13920,0.6666666666666666,0.0
14000,1.0,0.0
14080,0.5714285714285714,0.0
14160,1.125,0.0
14240,1.2857142857142858,0.14285714285714285
14320,1.125,0.125
14400,0.8571428571428571,0.0
14480,1.1428571428571428,0.14285714285714285
14560,1.0,0.125
14640,1.125,0.125
14720,0.6666666666666666,0.0
14800,0.6666666666666666,0.0
14880,0.5,0.0
14960,1.1111111111111112,0.0
15040,1.3,0.2
15120,1.5,0.125
15200,1.0,0.125
15280,1.5454545454545454,0.18181818181818182
15360,1.1428571428571428,0.14285714285714285
15440,0.6666666666666666,0.0
15520,0.6666666666666666,0.0
15600,0.6666666666666666,0.0
15680,0.5,0.0
15760,1.4285714285714286,0.14285714285714285
15840,0.6666666666666666,0.0
15920,0.7142857142857143,0.0
16000,0.6,0.0
16080,1.0,0.0
16160,1.0,0.0
16240,0.8,0.0
16320,0.8888888888888888,0.0
16400,1.25,0.125
16480,0.875,0.0
16560,1.4285714285714286,0.2857142857142857
16640,1.1428571428571428,0.14285714285714285
16720,1.5,0.2
16800,0.6666666666666666,0.0
16880,1.125,0.125
16960,1.6666666666666667,0.3333333333333333
17040,2.090909090909091,0.7272727272727273
17120,1.1666666666666667,0.16666666666666666
17200,2.6666666666666665,0.0
17280,1.7,0.3
17360,1.2222222222222223,0.1111111111111111
17440,1.0,0.14285714285714285
17520,1.375,0.0
17600,1.1111111111111112,0.0
17680,0.8571428571428571,0.0
17760,0.7142857142857143,0.0
17840,0.7142857142857143,0.0
17920,1.0,0.1111111111111111
18000,0.5714285714285714,0.0
18080,1.5714285714285714,0.0
18160,1.2857142857142858,0.14285714285714285
18240,0.6666666666666666,0.0
18320,1.0,0.125
18400,1.0,0.0
18480,1.4,0.2
18560,1.1666666666666667,0.16666666666666666
18640,1.2857142857142858,0.14285714285714285
18720,0.5,0.0
18800,0.7142857142857143,0.0
18880,1.375,0.125
18960,1.125,0.125
19040,1.25,0.125
19120,1.4285714285714286,0.14285714285714285
19200,1.2222222222222223,0.1111111111111111
19280,0.8571428571428571,0.0
19360,0.75,0.0
19440,1.8888888888888888,0.4444444444444444
19520,1.0,0.0
19600,0.6,0.0
19680,0.7142857142857143,0.0
19760,0.8571428571428571,0.0
19840,1.4444444444444444,0.1111111111111111
19920,0.8571428571428571,0.14285714285714285
20000,1.5714285714285714,0.14285714285714285
20080,0.5714285714285714,0.0
20160,0.6666666666666666,0.0
20240,1.2,0.0
20320,1.6,0.1
20400,0.8571428571428571,0.14285714285714285
20480,1.125,0.0
20560,0.8,0.0
20640,1.1428571428571428,0.0
20720,1.0,0.0
20800,0.6,0.0
20880,1.1428571428571428,0.14285714285714285
20960,1.0,0.0
21040,0.8888888888888888,0.0
21120,1.2,0.2
21200,0.75,0.0
21280,2.0,0.0
21360,1.25,0.25
21440,0.6666666666666666,0.0
21520,0.8571428571428571,0.0
21600,1.5,0.125
21680,0.6666666666666666,0.0
21760,0.6666666666666666,0.0
21840,1.1666666666666667,0.16666666666666666
21920,1.1,0.1
22000,0.7142857142857143,0.0
22080,0.8888888888888888,0.0
22160,1.4285714285714286,0.14285714285714285
22240,1.5,0.2
22320,1.1666666666666667,0.0
22400,1.5,0.375
22480,1.0,0.0
22560,1.0,0.14285714285714285
22640,0.8,0.0
22720,1.375,0.125
22800,0.6666666666666666,0.0
22880,1.0,0.0
22960,1.4444444444444444,0.2222222222222222
23040,1.0,0.1111111111111111
23120,1.4,0.2
23200,1.0,0.0
23280,1.7777777777777777,0.4444444444444444
23360,1.375,0.125
23440,1.2222222222222223,0.1111111111111111
23520,0.6,0.0
23600,0.7142857142857143,0.0
23680,1.4166666666666667,0.25
23760,1.375,0.125
23840,1.7272727272727273,0.36363636363636365
23920,1.125,0.125
24000,0.8888888888888888,0.0
24080,1.25,0.125
24160,1.375,0.125
24240,2.3076923076923075,0.8461538461538461
24320,0.6,0.0
24400,0.6666666666666666,0.0
24480,1.5,0.1
24560,1.0,0.125
24640,1.0,0.0
24720,0.5,0.0
24800,1.3333333333333333,0.2222222222222222
24880,1.3333333333333333,0.16666666666666666
24960,0.75,0.0
25040,0.6666666666666666,0.0
25120,1.4444444444444444,0.0
25200,1.4,0.2
25280,1.4444444444444444,0.2222222222222222
25360,1.6363636363636365,0.09090909090909091
25440,1.2857142857142858,0.14285714285714285
25520,0.7142857142857143,0.0
25600,1.7272727272727273,0.45454545454545453
25680,2.2222222222222223,0.5555555555555556
25760,1.3,0.2
25840,0.6666666666666666,0.0
25920,1.0,0.1111111111111111
26000,1.3333333333333333,0.2222222222222222
26080,0.6666666666666666,0.0
26160,0.5714285714285714,0.0
26240,0.8,0.0
26320,0.6666666666666666,0.0
26400,0.9,0.1
26480,0.75,0.0
26560,1.2222222222222223,0.1111111111111111
26640,0.6666666666666666,0.0
26720,0.6666666666666666,0.0
26800,1.6,0.2
26880,1.1428571428571428,0.14285714285714285
26960,0.8,0.0
27040,1.25,0.125
27120,0.6666666666666666,0.0
27200,1.2,0.1
27280,1.1666666666666667,0.16666666666666666
27360,1.1428571428571428,0.0
27440,2.5,0.8
27520,0.7142857142857143,0.0
27600,1.0,0.0
27680,0.5714285714285714,0.0
27760,1.0,0.0
27840,0.875,0.125
27920,1.0,0.0
28000,1.0,0.1111111111111111
28080,0.8,0.0
28160,1.1666666666666667,0.16666666666666666
28240,1.1428571428571428,0.14285714285714285
28320,1.7,0.5
28400,1.2857142857142858,0.14285714285714285
28480,0.6,0.0
28560,1.0,0.125
28640,0.6666666666666666,0.0
28720,0.8888888888888888,0.0
28800,0.8,0.0
28880,1.4,0.2
28960,1.1428571428571428,0.14285714285714285
29040,0.6666666666666666,0.0
29120,0.8571428571428571,0.0
29200,1.0,0.0
29280,1.0,0.0
29360,1.1666666666666667,0.16666666666666666
29440,0.625,0.0
29520,0.8,0.0
29600,0.6666666666666666,0.0
29680,1.3333333333333333,0.2222222222222222
29760,1.3333333333333333,0.2222222222222222
29840,0.6,0.0
29920,1.5555555555555556,0.3333333333333333
30000,1.1428571428571428,0.0
