# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:52
# parameter: seed = 1896497
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.031,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.031,     2,Finish(1), after,   2,   0,   0,   0,   1
      13.315,     3,Finish(2),before,   1,   0,   0,   0,   1
      13.315,     3,Finish(2), after,   1,   0,   0,   0,   0
      13.431,     1,  Arrival,before,   0,   0,   0,   0,   0
      13.431,     1,  Arrival, after,   2,   0,   0,   1,   0
      15.102,     5,Finish(1),before,   1,   0,   0,   1,   0
      15.102,     5,Finish(1), after,   2,   0,   0,   0,   1
      26.533,     4,  Arrival,before,   1,   0,   0,   0,   1
      26.533,     4,  Arrival, after,   3,   0,   0,   1,   1
      31.363,     8,Finish(1),before,   2,   0,   0,   1,   1
      31.363,     8,Finish(1), after,   2,   0,   1,   0,   1
      32.440,     6,Finish(2),before,   1,   0,   1,   0,   1
      32.440,     6,Finish(2), after,   2,   0,   0,   0,   1
      48.540,     9,Finish(2),before,   1,   0,   0,   0,   1
      48.540,     9,Finish(2), after,   1,   0,   0,   0,   0
      57.563,     7,  Arrival,before,   0,   0,   0,   0,   0
      57.563,     7,  Arrival, after,   2,   0,   0,   1,   0
      65.971,    11,Finish(1),before,   1,   0,   0,   1,   0
      65.971,    11,Finish(1), after,   2,   0,   0,   0,   1
      70.138,    10,  Arrival,before,   1,   0,   0,   0,   1
      70.138,    10,  Arrival, after,   3,   0,   0,   1,   1
      81.629,    14,Finish(1),before,   2,   0,   0,   1,   1
      81.629,    14,Finish(1), after,   2,   0,   1,   0,   1
      85.690,    12,Finish(2),before,   1,   0,   1,   0,   1
      85.690,    12,Finish(2), after,   2,   0,   0,   0,   1
      98.499,    15,Finish(2),before,   1,   0,   0,   0,   1
      98.499,    15,Finish(2), after,   1,   0,   0,   0,   0
     106.521,    13,  Arrival,before,   0,   0,   0,   0,   0
     106.521,    13,  Arrival, after,   2,   0,   0,   1,   0
     106.792,    17,Finish(1),before,   1,   0,   0,   1,   0
