# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:57
# parameter: seed = 1896574
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       1.699,     2,Finish(1),before,   1,   0,   0,   1,   0
       1.699,     2,Finish(1), after,   2,   0,   0,   0,   1
      15.351,     1,  Arrival,before,   1,   0,   0,   0,   1
      15.351,     1,  Arrival, after,   3,   0,   0,   1,   1
      20.749,     3,Finish(2),before,   2,   0,   0,   1,   1
      20.749,     3,Finish(2), after,   2,   0,   0,   1,   0
      38.118,     5,Finish(1),before,   1,   0,   0,   1,   0
      38.118,     5,Finish(1), after,   2,   0,   0,   0,   1
      50.225,     4,  Arrival,before,   1,   0,   0,   0,   1
      50.225,     4,  Arrival, after,   3,   0,   0,   1,   1
      54.206,     6,Finish(2),before,   2,   0,   0,   1,   1
      54.206,     6,Finish(2), after,   2,   0,   0,   1,   0
      55.385,     8,Finish(1),before,   1,   0,   0,   1,   0
      55.385,     8,Finish(1), after,   2,   0,   0,   0,   1
      67.693,     9,Finish(2),before,   1,   0,   0,   0,   1
      67.693,     9,Finish(2), after,   1,   0,   0,   0,   0
      91.445,     7,  Arrival,before,   0,   0,   0,   0,   0
      91.445,     7,  Arrival, after,   2,   0,   0,   1,   0
      91.942,    11,Finish(1),before,   1,   0,   0,   1,   0
      91.942,    11,Finish(1), after,   2,   0,   0,   0,   1
     110.908,    12,Finish(2),before,   1,   0,   0,   0,   1
     110.908,    12,Finish(2), after,   1,   0,   0,   0,   0
     111.136,    10,  Arrival,before,   0,   0,   0,   0,   0
     111.136,    10,  Arrival, after,   2,   0,   0,   1,   0
     120.857,    13,  Arrival,before,   1,   0,   0,   1,   0
     120.857,    13,  Arrival, after,   2,   1,   0,   1,   0
     137.335,    14,Finish(1),before,   1,   1,   0,   1,   0
     137.335,    14,Finish(1), after,   3,   0,   0,   1,   1
     152.357,    16,Finish(1),before,   2,   0,   0,   1,   1
     152.357,    16,Finish(1), after,   2,   0,   1,   0,   1
     153.516,    17,Finish(2),before,   1,   0,   1,   0,   1
