# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:40:02
# parameter: seed = 1896630
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,0.13965906028629047,18.71603848679905
2,8.0194131432464,8.0194131432464,26.846481265537005,37.518122270750084
3,63.0913617226,63.0913617226,70.42219628478591,84.69363568353427
4,106.65434114729777,106.65434114729777,125.98496588299591,141.09265720266436
5,118.09842169876015,125.98496588299591,141.09265720266436,150.30718105847532
6,151.48670481728152,151.48670481728152,151.8794024790621,167.18248333389985
7,172.43185518138225,172.43185518138225,192.91379073911767,210.39591783272556
8,218.40413253774634,218.40413253774634,223.46861625530045,238.85031132574383
9,258.13223637864843,258.13223637864843,292.1337266466589,308.70409884443035
10,296.3570881722616,296.3570881722616,308.70409884443035,322.7384972742558
11,332.09618484938045,332.09618484938045,334.7621213834746,349.9117407335556
12,384.50931525477233,384.50931525477233,393.3796474027856,409.8154352251777
13,433.7526389666872,433.7526389666872,448.29100999797737,467.57533865237303
14,472.8982967944285,472.8982967944285,477.42696638196196,493.6197960813052
15,522.207138851732,522.207138851732,524.2878829126599,543.4510952962163
16,560.2846705389549,560.2846705389549,562.9803109863643,575.723593175421
17,580.4538806635381,580.4538806635381,584.3784071871871,596.5745332963658
18,590.2539416495257,590.2539416495257,604.4861568061237,620.061480098167
19,608.0997513630397,608.0997513630397,644.3917051162446,665.4756405442816
20,616.6485415538135,644.3917051162446,665.4756405442816,686.9632844186576
21,641.3338203184724,660.0973412913123,686.9632844186576,704.7350589119842
22,654.1446053031038,666.6425570429373,704.7350589119842,723.34278579296
23,693.7812001605482,693.7812001605482,723.34278579296,737.1326473408764
24,722.8484772029719,722.8484772029719,737.1326473408764,752.7808735467005
25,741.3945966670489,741.3945966670489,766.7558018285778,788.3938749173998
26,779.1850111658232,779.1850111658232,788.3938749173998,802.377690677947
27,834.4892705376029,834.4892705376029,835.1843864690801,853.2326010733575
28,876.6234988583079,876.6234988583079,883.436976446256,898.9910235698895
29,909.240294249599,909.240294249599,910.4767799475555,921.0878516435155
30,937.0092782594935,937.0092782594935,943.1280571746257,959.5960902628824
31,985.9212575673353,985.9212575673353,1004.7104673493736,1015.246632678853
32,1004.2143888096059,1004.7104673493736,1015.246632678853,1034.0237546544913
33,1037.507778539576,1037.507778539576,1064.3993622410494,1085.2919708062284
34,1084.1607350536283,1084.1607350536283,1086.1252113737949,1103.7555229601119
35,1098.6127533194483,1098.6127533194483,1103.7555229601119,1116.5262122715021
36,1128.5592239383823,1128.5592239383823,1128.8269302423764,1149.1615839022775
37,1174.056817183466,1174.056817183466,1177.2330642915642,1189.756174183496
38,1186.132911695744,1186.132911695744,1190.4726670657008,1210.9646009535707
39,1207.4749986335578,1207.4749986335578,1221.4096705686704,1237.2747494554962
40,1232.0203922533974,1232.0203922533974,1262.2424403141765,1277.6630745024693
41,1272.3062478688446,1272.3062478688446,1285.4129310245137,1306.7511577060327
42,1326.8061814227947,1326.8061814227947,1336.1548985052552,1353.739917500947
43,1375.5715973611773,1375.5715973611773,1378.530725596709,1395.2043759019605
44,1400.192204635169,1400.192204635169,1413.5049343826336,1431.5612066228573
45,1443.806349393254,1443.806349393254,1452.5951254174583,1467.320012271794
46,1499.5012777343843,1499.5012777343843,1511.8425137647284,1527.6525697200268
47,1534.2371042074017,1534.2371042074017,1536.8558548065512,1549.0591066159168
48,1559.3181496883672,1559.3181496883672,1563.0763368614737,1576.1065784325303
49,1604.6268116231088,1604.6268116231088,1622.7408171793684,1642.5579234176535
50,1622.7382548478483,1622.7408171793684,1645.564033069162,1660.7940760502972
51,1667.2802421631238,1667.2802421631238,1684.2174061791345,1701.183159484941
52,1685.8167979700427,1685.8167979700427,1705.8406292942352,1719.7189297409352
53,1697.503301741166,1705.8406292942352,1719.7189297409352,1734.5533140266984
54,1744.9243556536933,1744.9243556536933,1747.8924110698285,1759.764461579058
55,1788.0803191608652,1788.0803191608652,1789.8265824580976,1806.3237547642514
56,1817.0447937618376,1817.0447937618376,1822.5713635264578,1842.992853834682
57,1845.6299717539823,1845.6299717539823,1870.1550303466413,1885.1653540157363
58,1887.3949730736,1887.3949730736,1892.546836289831,1913.283121128497
59,1914.269996948792,1914.269996948792,1916.0336413778978,1929.1683676808482
60,1966.3490496784468,1966.3490496784468,1969.6801475862367,1985.1589674395022
61,1979.1627775126094,1979.1627775126094,1985.1589674395022,2000.0095201767483
62,2006.7538950523067,2006.7538950523067,2025.4977761189045,2042.6145444286287
63,2042.7727560750438,2042.7727560750438,2056.135668936644,2070.9832491009224
64,2091.109556179191,2091.109556179191,2107.96848025743,2122.6790400417544
65,2123.4307065342596,2123.4307065342596,2140.5757748276433,2156.6533379303282
66,2148.3459382208134,2148.3459382208134,2156.6533379303282,2173.022857281427
67,2197.244655416277,2197.244655416277,2207.7606251969205,2228.2617791588577
68,2209.500257196165,2209.500257196165,2228.2617791588577,2241.442367944572
69,2222.4470705669933,2224.196851397178,2241.442367944572,2260.449361388127
70,2258.8737504359387,2258.8737504359387,2284.76823700962,2301.6332635479434
71,2296.6799840272333,2296.6799840272333,2304.2774618061158,2322.632557029248
72,2321.0152363412603,2321.0152363412603,2322.632557029248,2340.1833886071586
73,2355.6161817795723,2355.6161817795723,2371.7967126389212,2386.3785267233857
74,2401.315379209371,2401.315379209371,2407.1063747382964,2424.0335419430417
75,2422.576529344736,2422.576529344736,2431.9379574403683,2450.04402547639
76,2433.3631156925826,2433.3631156925826,2450.04402547639,2465.774823287898
77,2483.3681062956425,2483.3681062956425,2484.003265617942,2499.9583256111355
78,2513.147358379516,2513.147358379516,2518.1851966807685,2535.8891084358256
79,2564.673489223894,2564.673489223894,2573.716898170965,2587.411617473393
80,2576.152774325202,2576.152774325202,2587.411617473393,2604.6728546457794
81,2626.532011608316,2626.532011608316,2645.0621704784926,2656.5349257176476
82,2642.391453971169,2645.0621704784926,2665.3268697413196,2678.064917737408
83,2682.27267262493,2682.27267262493,2686.264227241257,2700.589700370323
84,2700.2218716390835,2700.2218716390835,2711.38417571787,2721.0190743201924
85,2722.1313813705547,2722.1313813705547,2723.801638616609,2738.0985430192095
86,2766.9070850793732,2766.9070850793732,2773.375555777459,2788.9202365437313
87,2794.6682164962613,2794.6682164962613,2811.129384338814,2828.5700579724266
88,2845.6853856351213,2845.6853856351213,2848.250268828117,2859.105267738673
89,2856.641740115159,2856.641740115159,2859.105267738673,2879.3006408113506
90,2869.4232955300827,2869.4232955300827,2882.191423063866,2896.3655188404937
