# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:56
# parameter: seed = 1896555
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      12.881,     2,Finish(1),before,   1,   0,   0,   1,   0
      12.881,     2,Finish(1), after,   2,   0,   0,   0,   1
      21.925,     3,Finish(2),before,   1,   0,   0,   0,   1
      21.925,     3,Finish(2), after,   1,   0,   0,   0,   0
      43.552,     1,  Arrival,before,   0,   0,   0,   0,   0
      43.552,     1,  Arrival, after,   2,   0,   0,   1,   0
      58.716,     4,  Arrival,before,   1,   0,   0,   1,   0
      58.716,     4,  Arrival, after,   2,   1,   0,   1,   0
      81.840,     5,Finish(1),before,   1,   1,   0,   1,   0
      81.840,     5,Finish(1), after,   3,   0,   0,   1,   1
      84.432,     7,Finish(1),before,   2,   0,   0,   1,   1
      84.432,     7,Finish(1), after,   2,   0,   1,   0,   1
      96.206,     6,  Arrival,before,   1,   0,   1,   0,   1
      96.206,     6,  Arrival, after,   3,   0,   1,   1,   1
      97.216,     8,Finish(2),before,   2,   0,   1,   1,   1
      97.216,     8,Finish(2), after,   3,   0,   0,   1,   1
      99.842,    10,Finish(1),before,   2,   0,   0,   1,   1
      99.842,    10,Finish(1), after,   2,   0,   1,   0,   1
     117.367,    11,Finish(2),before,   1,   0,   1,   0,   1
     117.367,    11,Finish(2), after,   2,   0,   0,   0,   1
     129.096,     9,  Arrival,before,   1,   0,   0,   0,   1
     129.096,     9,  Arrival, after,   3,   0,   0,   1,   1
     131.513,    14,Finish(1),before,   2,   0,   0,   1,   1
     131.513,    14,Finish(1), after,   2,   0,   1,   0,   1
     137.469,    12,Finish(2),before,   1,   0,   1,   0,   1
     137.469,    12,Finish(2), after,   2,   0,   0,   0,   1
     147.290,    15,Finish(2),before,   1,   0,   0,   0,   1
     147.290,    15,Finish(2), after,   1,   0,   0,   0,   0
     171.937,    13,  Arrival,before,   0,   0,   0,   0,   0
     171.937,    13,  Arrival, after,   2,   0,   0,   1,   0
     179.514,    17,Finish(1),before,   1,   0,   0,   1,   0
