# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:55
# parameter: seed = 1896542
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      40.111,     1,  Arrival,before,   1,   0,   0,   1,   0
      40.111,     1,  Arrival, after,   2,   1,   0,   1,   0
      41.958,     2,Finish(1),before,   1,   1,   0,   1,   0
      41.958,     2,Finish(1), after,   3,   0,   0,   1,   1
      47.130,     4,Finish(1),before,   2,   0,   0,   1,   1
      47.130,     4,Finish(1), after,   2,   0,   1,   0,   1
      53.664,     3,  Arrival,before,   1,   0,   1,   0,   1
      53.664,     3,  Arrival, after,   3,   0,   1,   1,   1
      61.713,     5,Finish(2),before,   2,   0,   1,   1,   1
      61.713,     5,Finish(2), after,   3,   0,   0,   1,   1
      65.371,     7,Finish(1),before,   2,   0,   0,   1,   1
      65.371,     7,Finish(1), after,   2,   0,   1,   0,   1
      77.164,     8,Finish(2),before,   1,   0,   1,   0,   1
      77.164,     8,Finish(2), after,   2,   0,   0,   0,   1
      85.885,     6,  Arrival,before,   1,   0,   0,   0,   1
      85.885,     6,  Arrival, after,   3,   0,   0,   1,   1
      95.647,     9,Finish(2),before,   2,   0,   0,   1,   1
      95.647,     9,Finish(2), after,   2,   0,   0,   1,   0
      99.185,    11,Finish(1),before,   1,   0,   0,   1,   0
      99.185,    11,Finish(1), after,   2,   0,   0,   0,   1
     118.539,    12,Finish(2),before,   1,   0,   0,   0,   1
     118.539,    12,Finish(2), after,   1,   0,   0,   0,   0
     130.860,    10,  Arrival,before,   0,   0,   0,   0,   0
     130.860,    10,  Arrival, after,   2,   0,   0,   1,   0
     132.253,    14,Finish(1),before,   1,   0,   0,   1,   0
     132.253,    14,Finish(1), after,   2,   0,   0,   0,   1
     145.622,    15,Finish(2),before,   1,   0,   0,   0,   1
     145.622,    15,Finish(2), after,   1,   0,   0,   0,   0
     168.572,    13,  Arrival,before,   0,   0,   0,   0,   0
     168.572,    13,  Arrival, after,   2,   0,   0,   1,   0
     173.391,    17,Finish(1),before,   1,   0,   0,   1,   0
