# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:54
# parameter: seed = 1896533
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       0.338,     2,Finish(1),before,   1,   0,   0,   1,   0
       0.338,     2,Finish(1), after,   2,   0,   0,   0,   1
      15.575,     1,  Arrival,before,   1,   0,   0,   0,   1
      15.575,     1,  Arrival, after,   3,   0,   0,   1,   1
      20.966,     3,Finish(2),before,   2,   0,   0,   1,   1
      20.966,     3,Finish(2), after,   2,   0,   0,   1,   0
      34.077,     5,Finish(1),before,   1,   0,   0,   1,   0
      34.077,     5,Finish(1), after,   2,   0,   0,   0,   1
      38.233,     4,  Arrival,before,   1,   0,   0,   0,   1
      38.233,     4,  Arrival, after,   3,   0,   0,   1,   1
      48.071,     6,Finish(2),before,   2,   0,   0,   1,   1
      48.071,     6,Finish(2), after,   2,   0,   0,   1,   0
      48.439,     8,Finish(1),before,   1,   0,   0,   1,   0
      48.439,     8,Finish(1), after,   2,   0,   0,   0,   1
      54.595,     7,  Arrival,before,   1,   0,   0,   0,   1
      54.595,     7,  Arrival, after,   3,   0,   0,   1,   1
      63.993,     9,Finish(2),before,   2,   0,   0,   1,   1
      63.993,     9,Finish(2), after,   2,   0,   0,   1,   0
      66.462,    11,Finish(1),before,   1,   0,   0,   1,   0
      66.462,    11,Finish(1), after,   2,   0,   0,   0,   1
      80.254,    12,Finish(2),before,   1,   0,   0,   0,   1
      80.254,    12,Finish(2), after,   1,   0,   0,   0,   0
      87.181,    10,  Arrival,before,   0,   0,   0,   0,   0
      87.181,    10,  Arrival, after,   2,   0,   0,   1,   0
      91.294,    14,Finish(1),before,   1,   0,   0,   1,   0
      91.294,    14,Finish(1), after,   2,   0,   0,   0,   1
     103.817,    15,Finish(2),before,   1,   0,   0,   0,   1
     103.817,    15,Finish(2), after,   1,   0,   0,   0,   0
     110.266,    13,  Arrival,before,   0,   0,   0,   0,   0
     110.266,    13,  Arrival, after,   2,   0,   0,   1,   0
     112.635,    17,Finish(1),before,   1,   0,   0,   1,   0
