# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:57
# parameter: seed = 1896570
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      16.836,     2,Finish(1),before,   1,   0,   0,   1,   0
      16.836,     2,Finish(1), after,   2,   0,   0,   0,   1
      30.400,     3,Finish(2),before,   1,   0,   0,   0,   1
      30.400,     3,Finish(2), after,   1,   0,   0,   0,   0
      36.446,     1,  Arrival,before,   0,   0,   0,   0,   0
      36.446,     1,  Arrival, after,   2,   0,   0,   1,   0
      59.591,     4,  Arrival,before,   1,   0,   0,   1,   0
      59.591,     4,  Arrival, after,   2,   1,   0,   1,   0
      60.158,     5,Finish(1),before,   1,   1,   0,   1,   0
      60.158,     5,Finish(1), after,   3,   0,   0,   1,   1
      72.804,     8,Finish(2),before,   2,   0,   0,   1,   1
      72.804,     8,Finish(2), after,   2,   0,   0,   1,   0
      87.226,     7,Finish(1),before,   1,   0,   0,   1,   0
      87.226,     7,Finish(1), after,   2,   0,   0,   0,   1
      99.311,     9,Finish(2),before,   1,   0,   0,   0,   1
      99.311,     9,Finish(2), after,   1,   0,   0,   0,   0
     106.853,     6,  Arrival,before,   0,   0,   0,   0,   0
     106.853,     6,  Arrival, after,   2,   0,   0,   1,   0
     127.404,    11,Finish(1),before,   1,   0,   0,   1,   0
     127.404,    11,Finish(1), after,   2,   0,   0,   0,   1
     145.125,    12,Finish(2),before,   1,   0,   0,   0,   1
     145.125,    12,Finish(2), after,   1,   0,   0,   0,   0
     147.704,    10,  Arrival,before,   0,   0,   0,   0,   0
     147.704,    10,  Arrival, after,   2,   0,   0,   1,   0
     155.000,    14,Finish(1),before,   1,   0,   0,   1,   0
     155.000,    14,Finish(1), after,   2,   0,   0,   0,   1
     166.924,    13,  Arrival,before,   1,   0,   0,   0,   1
     166.924,    13,  Arrival, after,   3,   0,   0,   1,   1
     170.694,    15,Finish(2),before,   2,   0,   0,   1,   1
     170.694,    15,Finish(2), after,   2,   0,   0,   1,   0
     199.887,    16,  Arrival,before,   1,   0,   0,   1,   0
