# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:51
# parameter: seed = 1896492
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
       5.220,     2,Finish(1),before,   1,   0,   0,   1,   0
       5.220,     2,Finish(1), after,   2,   0,   0,   0,   1
      15.800,     1,  Arrival,before,   1,   0,   0,   0,   1
      15.800,     1,  Arrival, after,   3,   0,   0,   1,   1
      19.150,     3,Finish(2),before,   2,   0,   0,   1,   1
      19.150,     3,Finish(2), after,   2,   0,   0,   1,   0
      26.242,     4,  Arrival,before,   1,   0,   0,   1,   0
      26.242,     4,  Arrival, after,   2,   1,   0,   1,   0
      30.289,     5,Finish(1),before,   1,   1,   0,   1,   0
      30.289,     5,Finish(1), after,   3,   0,   0,   1,   1
      31.101,     7,Finish(1),before,   2,   0,   0,   1,   1
      31.101,     7,Finish(1), after,   2,   0,   1,   0,   1
      41.892,     6,  Arrival,before,   1,   0,   1,   0,   1
      41.892,     6,  Arrival, after,   3,   0,   1,   1,   1
      43.109,    10,Finish(1),before,   2,   0,   1,   1,   1
      43.109,    10,Finish(1), after,   2,   0,   2,   0,   1
      50.060,     8,Finish(2),before,   1,   0,   2,   0,   1
      50.060,     8,Finish(2), after,   2,   0,   1,   0,   1
      71.163,    11,Finish(2),before,   1,   0,   1,   0,   1
      71.163,    11,Finish(2), after,   2,   0,   0,   0,   1
      77.717,     9,  Arrival,before,   1,   0,   0,   0,   1
      77.717,     9,  Arrival, after,   3,   0,   0,   1,   1
      87.454,    14,Finish(1),before,   2,   0,   0,   1,   1
      87.454,    14,Finish(1), after,   2,   0,   1,   0,   1
      88.337,    12,Finish(2),before,   1,   0,   1,   0,   1
      88.337,    12,Finish(2), after,   2,   0,   0,   0,   1
     104.515,    15,Finish(2),before,   1,   0,   0,   0,   1
     104.515,    15,Finish(2), after,   1,   0,   0,   0,   0
     114.165,    13,  Arrival,before,   0,   0,   0,   0,   0
     114.165,    13,  Arrival, after,   2,   0,   0,   1,   0
     117.353,    17,Finish(1),before,   1,   0,   0,   1,   0
