# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:40:00
# parameter: seed = 1896604
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
id,arrival_time,start_service_times,start_service_times,completion_time
1,0.0,0.0,27.20092055713752,44.39025751218558
2,49.13747082251406,49.13747082251406,57.16707323673647,71.1786299968013
3,99.97472367665232,99.97472367665232,110.29173747981358,127.34466205332012
4,144.16432075963144,144.16432075963144,146.00411738045725,166.8348073817679
5,173.15140362699333,173.15140362699333,175.8577436667713,196.19453432896418
6,183.63148630910655,183.63148630910655,196.19453432896418,208.4035074329366
7,235.38414832404834,235.38414832404834,241.46024539974968,263.5180307562794
8,269.9751426739379,269.9751426739379,281.6708020591816,294.3063164427997
9,292.12804558313513,292.12804558313513,294.3063164427997,316.1952618034461
10,312.5992067943462,312.5992067943462,325.30311896610476,344.33555930001626
11,330.48864091646885,330.48864091646885,344.33555930001626,359.9841832119911
12,356.6117375269858,356.6117375269858,369.1242773108659,384.52809615767023
13,383.41033648813004,383.41033648813004,388.9795584818207,408.0814530101865
14,431.2667690360377,431.2667690360377,456.94310934693715,472.4643694600558
15,451.63972757259563,456.94310934693715,472.4643694600558,488.3113639147435
16,460.0500266308463,466.15435033937433,488.3113639147435,504.8454377351998
17,478.6390189145768,480.8302185869484,504.8454377351998,523.969161463357
18,515.6243160329657,515.6243160329657,540.5850163967154,557.1090629800043
19,560.6991514982535,560.6991514982535,563.093102588885,579.4394740224654
20,575.7587414335659,575.7587414335659,579.4394740224654,592.9310321327566
21,618.623725142114,618.623725142114,631.100458093614,648.9773484574808
22,635.1747993776374,635.1747993776374,648.9773484574808,664.7081551315871
23,675.8754984549787,675.8754984549787,681.516154166183,695.3034880204991
24,698.2663186137318,698.2663186137318,702.105835895319,717.0592490315578
25,718.4013658701556,718.4013658701556,748.868891132378,764.5059271022604
26,763.578004169272,763.578004169272,781.0527646169222,799.1731706678877
27,773.475470610255,781.0527646169222,799.1731706678877,815.1781561923332
28,796.3948457004882,798.7559646883797,815.1781561923332,832.6492024312256
29,828.6498135050773,828.6498135050773,832.8495965090788,844.7777470302443
30,875.7262767286128,875.7262767286128,882.3746687841143,897.2985825556252
31,920.2447290112182,920.2447290112182,920.6026095518594,932.9037300779047
32,944.9871696616851,944.9871696616851,956.9596804666478,971.5345442137607
33,975.0579134371397,975.0579134371397,1026.5385230940165,1041.1512383718214
34,1030.4652944273034,1030.4652944273034,1041.1512383718214,1059.3493899863486
35,1071.3355105114658,1071.3355105114658,1080.0939661543077,1102.7352813107177
36,1088.894648680398,1088.894648680398,1102.7352813107177,1116.719851690411
37,1127.7207670292664,1127.7207670292664,1128.8493063537476,1148.2055000343269
38,1165.748749009351,1165.748749009351,1168.6545632476573,1186.3067421928204
39,1200.2172913741201,1200.2172913741201,1200.9501195413873,1212.7317106328894
40,1221.1256176789373,1221.1256176789373,1236.9049111669426,1250.5339425740206
41,1256.699419929654,1256.699419929654,1295.854070359841,1307.8041441011583
42,1305.5481775005633,1305.5481775005633,1310.005987028576,1329.2359830797288
43,1351.6443184995933,1351.6443184995933,1357.3189764134843,1376.7643744447737
44,1377.0912210842957,1377.0912210842957,1393.1304245587637,1411.6208120300957
45,1413.510278546906,1413.510278546906,1414.2542849111965,1433.659762553713
46,1421.548836123368,1421.548836123368,1433.659762553713,1451.4199893564996
47,1467.8833928106133,1467.8833928106133,1478.824652086351,1490.358710709431
48,1514.0900077847066,1514.0900077847066,1518.6024757930552,1531.9697125570763
49,1530.9375864580209,1530.9375864580209,1535.4084707195243,1549.6765614252633
50,1579.4677057306437,1579.4677057306437,1592.2213434542666,1605.9807670069456
51,1592.6909650018902,1592.6909650018902,1605.9807670069456,1621.648159671949
52,1623.90789730413,1623.90789730413,1624.8381275444324,1641.3659231000888
53,1676.5495664092766,1676.5495664092766,1681.2709064028575,1693.523888812945
54,1730.91772161375,1730.91772161375,1738.633538523404,1755.2962133103388
55,1763.5455991409435,1763.5455991409435,1767.3380242172673,1780.7527612532622
56,1776.3292024907805,1776.3292024907805,1780.7527612532622,1796.764615340345
57,1828.7190782442776,1828.7190782442776,1833.2591914845523,1844.5640573900387
58,1881.856360397705,1881.856360397705,1899.2755443754618,1918.2717951567392
59,1905.7082938991439,1905.7082938991439,1922.2751428823933,1940.140488076033
60,1940.4576711089103,1940.4576711089103,1948.6307003258999,1958.5337886246245
61,1977.5179506340044,1977.5179506340044,1994.3147440068503,2011.6009224754698
62,2027.8704176541214,2027.8704176541214,2029.1304482447147,2045.736041111415
63,2073.3813737381483,2073.3813737381483,2110.9404864137505,2130.8885547403315
64,2127.755714975727,2127.755714975727,2130.8885547403315,2149.2129608539203
65,2159.727580521104,2159.727580521104,2165.0411730852343,2184.040522697699
66,2183.918494817349,2183.918494817349,2208.122680312704,2224.50772087218
67,2203.1684184508363,2208.122680312704,2224.50772087218,2237.1322908643
68,2230.1056029225865,2230.1056029225865,2237.1322908643,2248.553821074365
69,2250.5644573147188,2250.5644573147188,2278.7141288583143,2292.1266067374286
70,2280.0396321351705,2280.0396321351705,2292.1266067374286,2308.2817645397568
71,2329.1687291561343,2329.1687291561343,2340.422726670771,2356.929302895929
