# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:40:00
# parameter: seed = 1896604
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      27.201,     2,Finish(1),before,   1,   0,   0,   1,   0
      27.201,     2,Finish(1), after,   2,   0,   0,   0,   1
      44.390,     3,Finish(2),before,   1,   0,   0,   0,   1
      44.390,     3,Finish(2), after,   1,   0,   0,   0,   0
      49.137,     1,  Arrival,before,   0,   0,   0,   0,   0
      49.137,     1,  Arrival, after,   2,   0,   0,   1,   0
      57.167,     5,Finish(1),before,   1,   0,   0,   1,   0
      57.167,     5,Finish(1), after,   2,   0,   0,   0,   1
      71.179,     6,Finish(2),before,   1,   0,   0,   0,   1
      71.179,     6,Finish(2), after,   1,   0,   0,   0,   0
      99.975,     4,  Arrival,before,   0,   0,   0,   0,   0
      99.975,     4,  Arrival, after,   2,   0,   0,   1,   0
     110.292,     8,Finish(1),before,   1,   0,   0,   1,   0
     110.292,     8,Finish(1), after,   2,   0,   0,   0,   1
     127.345,     9,Finish(2),before,   1,   0,   0,   0,   1
     127.345,     9,Finish(2), after,   1,   0,   0,   0,   0
     144.164,     7,  Arrival,before,   0,   0,   0,   0,   0
     144.164,     7,  Arrival, after,   2,   0,   0,   1,   0
     146.004,    11,Finish(1),before,   1,   0,   0,   1,   0
     146.004,    11,Finish(1), after,   2,   0,   0,   0,   1
     166.835,    12,Finish(2),before,   1,   0,   0,   0,   1
     166.835,    12,Finish(2), after,   1,   0,   0,   0,   0
     173.151,    10,  Arrival,before,   0,   0,   0,   0,   0
     173.151,    10,  Arrival, after,   2,   0,   0,   1,   0
     175.858,    14,Finish(1),before,   1,   0,   0,   1,   0
     175.858,    14,Finish(1), after,   2,   0,   0,   0,   1
     183.631,    13,  Arrival,before,   1,   0,   0,   0,   1
     183.631,    13,  Arrival, after,   3,   0,   0,   1,   1
     192.517,    17,Finish(1),before,   2,   0,   0,   1,   1
     192.517,    17,Finish(1), after,   2,   0,   1,   0,   1
     196.195,    15,Finish(2),before,   1,   0,   1,   0,   1
