# file created by code in harbour_fns_1896438.jl
# file created on 2026-03-09 at 15:39:49
# parameter: seed = 1896460
# parameter: T = 30000.0
# parameter: lower_interarrival = 7.8
# parameter: upper_interarrival = 55.8
# parameter: mean_process_times = [11.0, 16.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = hours
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
       0.000,     0,  Arrival,before,   0,   0,   0,   0,   0
       0.000,     0,  Arrival, after,   2,   0,   0,   1,   0
      12.261,     2,Finish(1),before,   1,   0,   0,   1,   0
      12.261,     2,Finish(1), after,   2,   0,   0,   0,   1
      35.307,     3,Finish(2),before,   1,   0,   0,   0,   1
      35.307,     3,Finish(2), after,   1,   0,   0,   0,   0
      40.561,     1,  Arrival,before,   0,   0,   0,   0,   0
      40.561,     1,  Arrival, after,   2,   0,   0,   1,   0
      53.175,     4,  Arrival,before,   1,   0,   0,   1,   0
      53.175,     4,  Arrival, after,   2,   1,   0,   1,   0
      73.786,     5,Finish(1),before,   1,   1,   0,   1,   0
      73.786,     5,Finish(1), after,   3,   0,   0,   1,   1
      76.509,     7,Finish(1),before,   2,   0,   0,   1,   1
      76.509,     7,Finish(1), after,   2,   0,   1,   0,   1
      89.518,     8,Finish(2),before,   1,   0,   1,   0,   1
      89.518,     8,Finish(2), after,   2,   0,   0,   0,   1
      92.779,     6,  Arrival,before,   1,   0,   0,   0,   1
      92.779,     6,  Arrival, after,   3,   0,   0,   1,   1
     102.071,     9,Finish(2),before,   2,   0,   0,   1,   1
     102.071,     9,Finish(2), after,   2,   0,   0,   1,   0
     115.543,    10,  Arrival,before,   1,   0,   0,   1,   0
     115.543,    10,  Arrival, after,   2,   1,   0,   1,   0
     120.325,    11,Finish(1),before,   1,   1,   0,   1,   0
     120.325,    11,Finish(1), after,   3,   0,   0,   1,   1
     123.113,    13,Finish(1),before,   2,   0,   0,   1,   1
     123.113,    13,Finish(1), after,   2,   0,   1,   0,   1
     137.595,    14,Finish(2),before,   1,   0,   1,   0,   1
     137.595,    14,Finish(2), after,   2,   0,   0,   0,   1
     138.569,    12,  Arrival,before,   1,   0,   0,   0,   1
     138.569,    12,  Arrival, after,   3,   0,   0,   1,   1
     150.392,    17,Finish(1),before,   2,   0,   0,   1,   1
     150.392,    17,Finish(1), after,   2,   0,   1,   0,   1
     157.117,    15,Finish(2),before,   1,   0,   1,   0,   1
